period,actual,forecast,lower_ci,upper_ci,error,abs_error,pct_error,in_ci,n_train
2019-01-01,0.0215258275968963,0.02170989192780623,0.014326675774702825,0.029093108080909633,-0.00018406433090992907,0.00018406433090992907,0.8550859662950584,True,144
2019-02-01,0.0225381459240194,0.021612240322200233,0.014254777199646745,0.02896970344475372,0.0009259056018191686,0.0009259056018191686,4.108171119934095,True,145
2019-03-01,0.0242115405729821,0.02333654855230853,0.016002633457195388,0.030670463647421674,0.0008749920206735685,0.0008749920206735685,3.6139460768142153,True,146
2019-04-01,0.0248207050916349,0.026064114414916306,0.01875631328248479,0.03337191554734782,-0.001243409323281406,0.001243409323281406,5.009564872113408,True,147
2019-05-01,0.0233647655928841,0.025475136257913422,0.018187007461933993,0.032763265053892855,-0.0021103706650293236,0.0021103706650293236,9.032278353659374,True,148
2019-06-01,0.023309825302646,0.022753049932218095,0.015482952715455082,0.03002314714898111,0.000556775370427906,0.000556775370427906,2.3885866290242164,True,149
2019-07-01,0.0264766883869755,0.02350222935887419,0.016255735011743398,0.030748723706004982,0.002974459028101308,0.002974459028101308,11.234256280949827,True,150
2019-08-01,0.0271842727054449,0.027376525348490888,0.020136286409185286,0.03461676428779649,-0.00019225264304598838,0.00019225264304598838,0.7072201089546933,True,151
2019-09-01,0.0296366566106804,0.02796540724389568,0.020749202732397616,0.03518161175539374,0.0016712493667847203,0.0016712493667847203,5.6391292335669165,True,152
2019-10-01,0.0282568138331713,0.030482094052487606,0.023285458325910124,0.037678729779065084,-0.0022252802193163043,0.0022252802193163043,7.875198642190856,True,153
2019-11-01,0.0248974100678509,0.02598489591671407,0.018803417110176128,0.03316637472325201,-0.0010874858488631699,0.0010874858488631699,4.367867364113506,True,154
2019-12-01,0.0321517774065256,0.02337667498849807,0.016217635416145945,0.030535714560850198,0.008775102418027526,0.008775102418027526,27.29274437016509,False,155
