period,actual,forecast,lower_ci,upper_ci,error,abs_error,pct_error,in_ci,n_train
2019-01-01,0.0104450966086133,0.010675787444172552,0.006500542456460493,0.014851032431884612,-0.0002306908355592524,0.0002306908355592524,2.2086041345852054,True,233
2019-02-01,0.0109631310389746,0.010809014237719104,0.006640899363090411,0.014977129112347796,0.000154116801255497,0.000154116801255497,1.4057735943098952,True,234
2019-03-01,0.0074313050268273,0.010216361260741297,0.006058656700878631,0.014374065820603962,-0.002785056233913997,0.002785056233913997,37.47735053075921,True,235
2019-04-01,0.0070360799809447,0.009286748588862076,0.005123968747112295,0.013449528430611857,-0.002250668607917376,0.002250668607917376,31.987535872427504,True,236
2019-05-01,0.00571309426513,0.0076924735686285,0.0035327352439394064,0.011852211893317595,-0.0019793793034985005,0.0019793793034985005,34.64636170244358,True,237
2019-06-01,0.0068481002383222,0.005913922388899921,0.0017600592598668646,0.010067785517932977,0.0009341778494222786,0.0009341778494222786,13.641416114130278,True,238
2019-07-01,0.0087523948593908,0.007729595319884109,0.0035774777086530866,0.011881712931115132,0.0010227995395066906,0.0010227995395066906,11.685939173656996,True,239
2019-08-01,0.0083574060316315,0.008521499844439806,0.00437693413975333,0.012666065549126283,-0.0001640938128083056,0.0001640938128083056,1.9634538777610622,True,240
2019-09-01,0.0047533775979458,0.00877378629168085,0.004637255006313787,0.012910317577047914,-0.00402040869373505,0.00402040869373505,84.58004042162553,True,241
2019-10-01,0.0062745934827557,0.00691257548644305,0.0027601516828438073,0.011064999290042291,-0.0006379820036873495,0.0006379820036873495,10.167702584090883,True,242
2019-11-01,0.0052279405293518,0.005972315859375195,0.0018255601978038943,0.010119071520946495,-0.0007443753300233951,0.0007443753300233951,14.238404699597615,True,243
2019-12-01,0.0062835023672231,0.005348812173345171,0.0012114664809489096,0.009486157865741432,0.0009346901938779286,0.0009346901938779286,14.875305828698224,True,244
