Country,Model,p,d,q,x1_lag,x2_lag,N_forecasts,RMSE,MAE,MAPE,CI_Coverage_%
Belgium,"ARIMA(1,0,0)",1,0,0,0,0,12,0.001639293157010062,0.0014956265171280824,8.929679349927538,100.0
Germany,"ARIMA(2,0,0)",2,0,0,0,0,12,0.002790862495809677,0.0019812487094683757,13.874539262921372,91.66666666666666
Israel,"ARIMA(2,0,0)",2,0,0,0,0,12,0.002233846847242822,0.001970624288100638,31.9557424328512,100.0
Korea,"ARIMA(1,0,0)",1,0,0,2,2,12,0.001750265253940647,0.0013215366004338017,21.5731573778405,100.0
Lithuania,"ARIMA(2,0,0)",2,0,0,0,0,12,0.002926614708259512,0.0019017789030233599,6.843670751481771,91.66666666666666
