period,actual,forecast,lower_ci,upper_ci,error,abs_error,pct_error,in_ci,n_train
2019-01-01,0.0131070208280297,0.012255921445312404,0.0075513089629963516,0.016960533927628457,0.0008510993827172963,0.0008510993827172963,6.493461739964573,True,264
2019-02-01,0.0127383343314253,0.012669641332961227,0.007974537065481083,0.01736474560044137,6.869299846407398e-05,6.869299846407398e-05,0.5392620155573187,True,265
2019-03-01,0.0094969244177267,0.012921740204518509,0.008232238539704465,0.017611241869332554,-0.0034248157867918082,0.0034248157867918082,36.06236752183833,True,266
2019-04-01,0.0186686198114269,0.010999637316747744,0.006304685251162298,0.015694589382333188,0.007668982494679155,0.007668982494679155,41.0795365278425,False,267
2019-05-01,0.0116392488778815,0.014960188112300347,0.010184814617068886,0.01973556160753181,-0.0033209392344188474,0.0033209392344188474,28.532246962514503,True,268
2019-06-01,0.0158212915701954,0.014866600180824238,0.010090428920105914,0.019642771441542563,0.0009546913893711609,0.0009546913893711609,6.034219046753654,True,269
2019-07-01,0.0161032128674358,0.01426544999894168,0.009496780218382812,0.01903411977950055,0.0018377628684941184,0.0018377628684941184,11.412398777951168,True,270
2019-08-01,0.0141545141234882,0.01572197311583749,0.010949966722833228,0.02049397950884175,-0.0015674589923492886,0.0015674589923492886,11.073915915970757,True,271
2019-09-01,0.0154115843440107,0.01473681949978746,0.009969861127933717,0.019503777871641204,0.0006747648442232395,0.0006747648442232395,4.378296411072551,True,272
2019-10-01,0.0157519751244388,0.014824868835481116,0.010066157364999486,0.019583580305962744,0.0009271062889576846,0.0009271062889576846,5.885651047780682,True,273
2019-11-01,0.0162619121692308,0.015153166585562535,0.010402107753219736,0.019904225417905333,0.0011087455836682643,0.0011087455836682643,6.81805172805031,True,274
2019-12-01,0.0167368848906361,0.015366960241150526,0.010623024010572756,0.020110896471728295,0.0013699246494855745,0.0013699246494855745,8.185063459760158,True,275
