period,actual,forecast,lower_ci,upper_ci,error,abs_error,pct_error,in_ci,n_train
2019-01-01,0.0074428839070801,0.003454188043467048,-0.007310494833129842,0.014218870920063938,0.003988695863613052,0.003988695863613052,53.59073060133015,True,264
2019-02-01,0.0085106896679096,0.00922984736663236,-0.0015252041896322427,0.01998489892289696,-0.00071915769872276,0.00071915769872276,8.450051955653084,True,265
2019-03-01,0.0063425159764651,0.009362276470043496,-0.001371808014018443,0.020096360954105434,-0.0030197604935783967,0.0030197604935783967,47.6113975082395,True,266
2019-04-01,0.008438868645868,0.006218327379619089,-0.004482447838064731,0.016919102597302907,0.0022205412662489113,0.0022205412662489113,26.313257848090515,True,267
2019-05-01,0.010504298266877,0.009357997280010147,-0.001347307534305852,0.020063302094326146,0.0011463009868668533,0.0011463009868668533,10.912685052760372,True,268
2019-06-01,0.0094687714288541,0.012222682859790791,0.001536993309989184,0.022908372409592398,-0.0027539114309366904,0.0027539114309366904,29.084147311283925,True,269
2019-07-01,0.0073801072976262,0.008740325909969707,-0.0019369935369371281,0.019417645356876543,-0.0013602186123435073,0.0013602186123435073,18.43087854266048,True,270
2019-08-01,0.0073645782622122,0.007180175008920365,-0.0034727431175112875,0.017833093135352016,0.00018440325329183507,0.00018440325329183507,2.503921429391441,True,271
2019-09-01,0.0063224657394922,0.007829762751752373,-0.0028025169181093382,0.018462042421614082,-0.0015072970122601724,0.0015072970122601724,23.84033499533417,True,272
2019-10-01,0.0052548728383641,0.006619912156097068,-0.003998906690873157,0.017238731003067293,-0.0013650393177329677,0.0013650393177329677,25.976638440558713,True,273
2019-11-01,0.0031595602903653,0.0058884489584118994,-0.004759872657222112,0.01653677057404591,-0.0027288886680465994,0.0027288886680465994,86.36925449303872,True,274
2019-12-01,0.0052659416052929,0.0026126647517269834,-0.00802013788748283,0.013245467390936797,0.0026532768535659163,0.0026532768535659163,50.38561101587333,True,275
