period,actual,forecast,lower_ci,upper_ci,error,abs_error,pct_error,in_ci,n_train
2019-01-01,0.0308068104397092,0.0257629714692216,0.013751702772221049,0.037774240166222155,0.005043838970487598,0.005043838970487598,16.37248030060982,True,121
2019-02-01,0.0311427723791153,0.032357747823113174,0.020413490315121935,0.04430200533110441,-0.0012149754439978733,0.0012149754439978733,3.9013079157096806,True,122
2019-03-01,0.0237421253325003,0.03137543436905558,0.019442487878678697,0.04330838085943246,-0.0076333090365552775,0.0076333090365552775,32.1509086893166,True,123
2019-04-01,0.0284477482474168,0.021507302598412607,0.009533884378695222,0.03348072081812999,0.006940445649004194,0.006940445649004194,24.39717051993534,True,124
2019-05-01,0.0241576898253308,0.029926399838312454,0.017953044798013,0.0418997548786119,-0.005768710012981654,0.005768710012981654,23.87939432409142,True,125
2019-06-01,0.0260716186316045,0.02510595907284873,0.013163443072390492,0.03704847507330697,0.000965659558755768,0.000965659558755768,3.703872676264057,True,126
2019-07-01,0.0287357670527592,0.02606436937651557,0.014157780695427575,0.03797095805760356,0.0026713976762436295,0.0026713976762436295,9.296420281174026,True,127
2019-08-01,0.0279096021162024,0.029548530578395668,0.01767834219144705,0.041418718965344284,-0.0016389284621932676,0.0016389284621932676,5.872274550420116,True,128
2019-09-01,0.0273883529040892,0.0284685262203018,0.016680525433466167,0.04025652700713743,-0.001080173316212598,0.001080173316212598,3.943914845829679,True,129
2019-10-01,0.02586182267442,0.027255627066044407,0.015471340396603332,0.03903991373548548,-0.0013938043916244085,0.0013938043916244085,5.38942830585187,True,130
2019-11-01,0.0246845328223317,0.025299191355770002,0.01356016399282834,0.037038218718711664,-0.000614658533438301,0.000614658533438301,2.49005536326063,True,131
2019-12-01,0.022354971495659,0.025143795484463015,0.013242554851235518,0.037045036117690514,-0.0027888239888040137,0.0027888239888040137,12.475184722760936,True,132
