period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-01-01,2.1525827596896363,2.3386228990229454,1.4951847882161629,4.612220239121957,True,132,Lithuania
2019-02-01,2.253814592401948,2.327059957134747,1.6051204822831906,3.2072178339036013,True,133,Lithuania
2019-03-01,2.4211540572982138,2.354642726597518,1.6601551232429244,3.151088493948129,True,134,Lithuania
2019-04-01,2.482070509163492,2.431114768732078,1.7173826591832246,3.190384882814749,True,135,Lithuania
2019-05-01,2.336476559288414,2.4358380605053127,1.7519382305560982,3.2208565234330746,True,136,Lithuania
2019-06-01,2.3309825302646026,2.35678983797802,1.5570259899374497,3.360848514748826,True,137,Lithuania
2019-07-01,2.647668838697559,2.3563496202397447,1.5557129777010386,3.402307134261054,True,138,Lithuania
2019-08-01,2.718427270544499,2.5349197450914813,1.695602962134258,3.769063036764422,True,139,Lithuania
2019-09-01,2.963665661068049,2.602692825214077,1.7243266390714218,3.715404812368768,True,140,Lithuania
2019-10-01,2.8256813833171357,2.635077122994137,1.7989903252064992,3.5802285623624486,True,141,Lithuania
2019-11-01,2.4897410067850956,2.6846573369476006,1.711766286788127,4.071347766142858,True,142,Lithuania
2019-12-01,3.215177740652564,2.5293910293767197,1.7262537227029875,3.3410315919223095,True,143,Lithuania
