period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-01-01,0.7442883907080144,0.44115688926328,-0.20840053150982907,1.25915923487811,True,252,Israel
2019-02-01,0.8510689667909688,0.5809991098346,0.09368345162629205,1.3494181660965792,True,253,Israel
2019-03-01,0.634251597646518,0.6276985460289325,-0.046899987473406006,1.4690036941402373,True,254,Israel
2019-04-01,0.843886864586807,0.5569711734800948,0.11074225861344214,1.2089860903759788,True,255,Israel
2019-05-01,1.0504298266877043,0.7008023106279541,0.13395889322643384,1.5105900131473835,True,256,Israel
2019-06-01,0.9468771428854161,0.7726449825740721,0.15764064838206532,1.7025524460511572,True,257,Israel
2019-07-01,0.7380107297626282,0.7509456598438347,0.18279336887941142,1.5777668746758498,True,258,Israel
2019-08-01,0.7364578262212262,0.6850063414248723,0.08425911229140307,1.669416814653486,True,259,Israel
2019-09-01,0.6322465739492245,0.6194226484553905,0.06516148972608637,1.2586055146468813,True,260,Israel
2019-10-01,0.5254872838364122,0.6058449163185855,0.16376781864688114,1.0803508527460168,True,261,Israel
2019-11-01,0.31595602903653486,0.42198197323525666,-0.688932255890027,0.9391781491578096,True,262,Israel
2019-12-01,0.5265941605292923,0.45919175114399524,-0.09253833271865007,1.0430658222623868,True,263,Israel
