period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-01-01,2.262452679132476,2.2184567872379475,1.6134754360581867,2.8017080230658222,True,252,Norway
2019-02-01,2.500510758045582,2.305622717488197,1.8787671546736617,2.7832000044336893,True,253,Norway
2019-03-01,2.5430244366514643,2.382174564774434,1.8979096786300387,2.9336387979900844,True,254,Norway
2019-04-01,2.599591649733668,2.370924184612212,1.7785151634552836,2.879974272906718,True,255,Norway
2019-05-01,2.2585001118798687,2.5112930507151288,1.4796374098350127,3.0594906820304577,True,256,Norway
2019-06-01,2.23474105754482,2.2544736084002075,1.6326379475376227,2.8662916773618554,True,257,Norway
2019-07-01,2.3523662721433247,2.373757736850098,1.8247433937956234,2.9956365528782096,True,258,Norway
2019-08-01,2.148628248985318,2.346529205692249,1.8709302377260366,2.949784399483161,True,259,Norway
2019-09-01,2.1792337242596105,2.337392870247866,1.9795719839510622,2.9371190409294123,True,260,Norway
2019-10-01,2.3033040508927627,2.3619252046465897,1.993681186580713,2.965978764997564,True,261,Norway
2019-11-01,2.3083106286376776,2.351104120563229,1.993681186580713,2.7810709891107455,True,262,Norway
2019-12-01,2.0818113293961993,2.2895086241584344,1.8892769322473393,2.6109550191646314,True,263,Norway
