period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-01-01,1.044509660861337,1.4504829709333884,1.2486116307066593,1.8663773181256669,False,223,Korea
2019-02-01,1.0963131038974616,1.398599380393881,1.2308640103488777,1.7301393094076374,False,224,Korea
2019-03-01,0.7431305026827317,1.3820779051235779,1.2175665339211401,1.739986840282544,False,225,Korea
2019-04-01,0.7036079980944798,1.3551309593072616,1.1799569077203556,1.7174043559820744,False,226,Korea
2019-05-01,0.5713094265130003,1.3167848820065415,1.1465088567482278,1.5790598247170538,False,227,Korea
2019-06-01,0.6848100238322274,1.299464547339171,1.0902061862914976,1.651685057424555,False,228,Korea
2019-07-01,0.8752394859390833,1.3586465471243254,1.0722864687998448,2.0652176983820207,False,229,Korea
2019-08-01,0.8357406031631598,1.42401310667107,1.0633018197697512,2.4412727650051003,False,230,Korea
2019-09-01,0.4753377597945807,1.2560208581192387,1.0376950549619977,1.609451527798732,False,231,Korea
2019-10-01,0.6274593482755719,1.2124098995956558,0.9682694436344519,1.5663439665427783,False,232,Korea
2019-11-01,0.5227940529351827,1.206030441420693,0.9327525611136411,1.5958697899572707,False,233,Korea
2019-12-01,0.6283502367223193,1.2206403434825701,0.8950747184645728,1.839780397994486,False,234,Korea
