period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-01-01,3.080681043970923,3.915451588270996,1.6117297668240638,9.960635723415821,True,192,Latvia
2019-02-01,3.1142772379115335,4.132516804449888,1.6471492227978304,9.565697002613506,True,193,Latvia
2019-03-01,2.374212533250031,3.9724610132717895,1.4400445026833935,9.341240805101013,True,194,Latvia
2019-04-01,2.8447748247416804,3.7206589537072707,1.517893517233148,9.082304595164901,True,195,Latvia
2019-05-01,2.415768982533084,3.802508936758126,1.5725380805138733,8.969749363624647,True,196,Latvia
2019-06-01,2.6071618631604565,3.258035520555166,1.492918184486403,8.678966541123806,True,197,Latvia
2019-07-01,2.8735767052759265,4.103014509498714,1.4983532982932015,9.61145621664926,True,198,Latvia
2019-08-01,2.7909602116202414,3.7958321564102335,1.498509704987594,9.362321658447684,True,199,Latvia
2019-09-01,2.7388352904089253,3.4897841513541255,1.4583626879144065,8.658680479565685,True,200,Latvia
2019-10-01,2.5861822674420054,3.9479387052521013,1.5441517954734154,9.843328584942885,True,201,Latvia
2019-11-01,2.468453282233174,3.5647420674648083,1.436194689593388,9.522063846587738,True,202,Latvia
2019-12-01,2.2354971495659015,3.4921335603789805,1.46805524428061,9.489701262872844,True,203,Latvia
