period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-01-01,1.3107020828029725,1.2448867822573562,0.9232291366406677,1.6947563080165202,True,252,Germany
2019-02-01,1.273833433142535,1.2309237577997028,1.0134140475526232,1.469379247581328,True,253,Germany
2019-03-01,0.949692441772676,1.1429194880852274,0.8725426452281106,1.3606375823319519,True,254,Germany
2019-04-01,1.8668619811426979,1.3615973634336296,0.9243270944330161,1.743222080441263,False,255,Germany
2019-05-01,1.1639248877881592,1.4000319439079303,0.9637707589815442,1.8708155307545298,True,256,Germany
2019-06-01,1.5821291570195406,1.394593266281814,1.0932872778045364,1.75085670707958,True,257,Germany
2019-07-01,1.6103212867435879,1.418495951945021,1.080471377530827,1.7777713830073918,True,258,Germany
2019-08-01,1.4154514123488227,1.4835868593314931,1.1464809401701894,1.8318400271272313,True,259,Germany
2019-09-01,1.5411584344010798,1.3330205839028721,1.0764484235989613,1.8172529584402166,True,260,Germany
2019-10-01,1.5751975124438822,1.4090835918244993,1.1140376103688496,1.834433757175051,True,261,Germany
2019-11-01,1.6261912169230897,1.4844309290631723,1.1388738663147895,1.8375649027306868,True,262,Germany
2019-12-01,1.6736884890636183,1.552757048345442,1.240257303081736,1.8672942867260203,True,263,Germany
