period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-01-01,1.4439347502998245,1.56470545081202,1.0578700730542907,1.888815393188177,True,252,Belgium
2019-02-01,1.6062378010130551,1.523321074761905,1.1005927790172518,1.7878092182628043,True,253,Belgium
2019-03-01,1.73340132130404,1.5980742524243345,1.1954311161182276,1.818343871037701,True,254,Belgium
2019-04-01,1.8772981612869444,1.7507032325375977,1.3993428140149309,2.139089284153621,True,255,Belgium
2019-05-01,1.6459384954813139,1.759520225044992,1.3571397253219746,2.1872756848503254,True,256,Belgium
2019-06-01,1.9214564944620705,1.759283045479666,1.3906841168014077,2.2428481283594315,True,257,Belgium
2019-07-01,1.7592537285357146,1.8860920784120798,1.4936233198031104,2.25122698116146,True,258,Belgium
2019-08-01,1.6202468959953364,1.7294632527950098,1.3958359993596323,2.1611993390466853,True,259,Belgium
2019-09-01,1.5231049556073017,1.611197915962216,1.0694279357735657,2.1568161511816544,True,260,Belgium
2019-10-01,1.7208662652048012,1.6570988094220975,1.2815747823072856,2.145092662321337,True,261,Belgium
2019-11-01,1.618765056230398,1.6666382315330175,1.3687504310508334,2.011209097244538,True,262,Belgium
2019-12-01,1.59711357389547,1.5811823394090716,1.3031660291738716,1.9996942873883896,True,263,Belgium
2019-01-01,1.3107020828029725,1.2448867822573562,0.9232291366406677,1.6947563080165202,True,252,Germany
2019-02-01,1.273833433142535,1.2309237577997028,1.0134140475526232,1.469379247581328,True,253,Germany
2019-03-01,0.949692441772676,1.1429194880852274,0.8725426452281106,1.3606375823319519,True,254,Germany
2019-04-01,1.8668619811426979,1.3615973634336296,0.9243270944330161,1.743222080441263,False,255,Germany
2019-05-01,1.1639248877881592,1.4000319439079303,0.9637707589815442,1.8708155307545298,True,256,Germany
2019-06-01,1.5821291570195406,1.394593266281814,1.0932872778045364,1.75085670707958,True,257,Germany
2019-07-01,1.6103212867435879,1.418495951945021,1.080471377530827,1.7777713830073918,True,258,Germany
2019-08-01,1.4154514123488227,1.4835868593314931,1.1464809401701894,1.8318400271272313,True,259,Germany
2019-09-01,1.5411584344010798,1.3330205839028721,1.0764484235989613,1.8172529584402166,True,260,Germany
2019-10-01,1.5751975124438822,1.4090835918244993,1.1140376103688496,1.834433757175051,True,261,Germany
2019-11-01,1.6261912169230897,1.4844309290631723,1.1388738663147895,1.8375649027306868,True,262,Germany
2019-12-01,1.6736884890636183,1.552757048345442,1.240257303081736,1.8672942867260203,True,263,Germany
2019-01-01,0.7442883907080144,0.44115688926328,-0.20840053150982907,1.25915923487811,True,252,Israel
2019-02-01,0.8510689667909688,0.5809991098346,0.09368345162629205,1.3494181660965792,True,253,Israel
2019-03-01,0.634251597646518,0.6276985460289325,-0.046899987473406006,1.4690036941402373,True,254,Israel
2019-04-01,0.843886864586807,0.5569711734800948,0.11074225861344214,1.2089860903759788,True,255,Israel
2019-05-01,1.0504298266877043,0.7008023106279541,0.13395889322643384,1.5105900131473835,True,256,Israel
