period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-01-01,0.5141872464715647,0.5555136722138597,0.1346337561295077,1.1016159486072863,True,252,Switzerland
2019-02-01,0.3789110876481594,0.5818479874970034,0.1573190010053225,1.0949852675070848,True,253,Switzerland
2019-03-01,0.49139568591991534,0.5108535537579119,0.09382124509312698,1.0596470682956773,True,254,Switzerland
2019-04-01,0.5057437035214107,0.5045121919964275,0.08502518880721341,1.024861290521057,True,255,Switzerland
2019-05-01,0.6079580053530265,0.5170042063479758,0.038693016168027235,1.019077521562301,True,256,Switzerland
2019-06-01,0.7408023685887777,0.5971951252249528,0.0870876891584368,1.0694972646964218,True,257,Switzerland
2019-07-01,0.44058262034338824,0.6650219552710087,0.23862423283493023,1.0625686080909373,True,258,Switzerland
2019-08-01,0.39686109275391956,0.44263268551707224,0.019498604076587725,0.8670718452786441,True,259,Switzerland
2019-09-01,0.3791361120368819,0.5255540667949222,0.07973931139566295,0.976557946581696,True,260,Switzerland
2019-10-01,0.20361522763696627,0.43178385158462596,0.03787130418637527,0.8229285914841017,True,261,Switzerland
2019-11-01,0.41218410421661744,0.39351264499726185,-0.17999541491566012,0.8515188998664055,True,262,Switzerland
2019-12-01,0.3712437164488769,0.47282752672077866,0.10581841996489334,0.9370703920482942,True,263,Switzerland
