Country,alpha,RMSE,MAE,CI_Coverage_%,N_forecasts,n_features,train_end,test_end
Switzerland,0.01743328822199989,0.1468786563337693,0.12253371266936874,100.0,12,11,2018-12-01,2019-12-01
Belgium,0.02592943797404667,0.14874106186920738,0.1375300495060474,100.0,12,11,2018-12-01,2019-12-01
Norway,0.01743328822199989,0.14890485447158594,0.1179701329057824,100.0,12,11,2018-12-01,2019-12-01
Korea,0.001082636733874054,0.19535094140879944,0.14311274917429637,83.33333333333334,12,11,2018-12-01,2019-12-01
Israel,0.4175318936560405,0.24312481525968963,0.19895952169450437,100.0,12,11,2018-12-01,2019-12-01
Lithuania,0.18873918221350977,0.25759602685879607,0.1862652951797147,100.0,12,11,2018-12-01,2019-12-01
Germany,0.03856620421163472,0.3172188491223524,0.22979590904236769,91.66666666666666,12,11,2018-12-01,2019-12-01
Latvia,0.011721022975334805,0.37184235991928416,0.29926418338449473,91.66666666666666,12,11,2018-12-01,2019-12-01
