Model,Mean_RMSE,Std_RMSE,Min_RMSE,Max_RMSE,N_countries,Wins
SARIMAX,0.2265981138426457,0.07246059544255905,0.1285238294255041,0.3352698423387353,8,2
Random Forest,0.34849528248767203,0.34998732030868085,0.1070007619970626,1.122589380385496,8,4
LASSO,0.2287071956554355,0.0844612896350071,0.1468786563337693,0.3718423599192841,8,2
