Country,rmse_sarimax,rmse_rf,rmse_lasso,best_model
Belgium,0.1285238294255041,0.1070007619970626,0.1487410618692073,Random Forest
Germany,0.2505768392273758,0.2115012139113323,0.3172188491223524,Random Forest
Israel,0.2434358572536517,0.1881947555653288,0.2431248152596896,Random Forest
Korea,0.1559323041475844,0.6035630882059625,0.1953509414087994,SARIMAX
Latvia,0.3352698423387353,1.122589380385496,0.3718423599192841,SARIMAX
Lithuania,0.3118354372145129,0.2663024356649525,0.257596026858796,LASSO
Norway,0.1896639340461631,0.1569008999840786,0.1489048544715859,LASSO
Switzerland,0.1975468670876383,0.1319097241871628,0.1468786563337693,Random Forest
