Country,Best_x1_lag_BIC,Best_x2_lag_BIC,BIC,Best_x1_lag_AIC,Best_x2_lag_AIC,AIC,N_observations
Belgium,0,0,-2592.723315116416,0,0,-2610.8253194450017,276
Germany,0,0,-2471.562963254644,0,0,-2489.6649675832296,276
Israel,0,0,-2011.7657517806829,0,0,-2029.8677561092686,276
Korea,2,2,-2293.831480887177,2,2,-2311.3377719399004,245
Latvia,0,0,-1677.6255308632037,0,0,-1694.5019229016245,216
Lithuania,0,0,-1254.4711523888593,0,0,-1269.720432425107,156
Norway,0,0,-2435.921186378199,0,0,-2454.0231907067846,276
Switzerland,0,0,-2652.343387239323,0,0,-2670.4453915679087,276
