period,actual,forecast,lower_ci,upper_ci,sigma_residual,in_ci,n_train,Country,alpha
2019-01-01,3.080681043970923,2.6918405428608847,1.8723746209990875,3.511306464722682,0.418102540825056,True,192,Latvia,0.011721022975334805
2019-02-01,3.1142772379115335,3.267107202363254,2.4479568649772854,4.086257539749223,0.41794152537869167,True,193,Latvia,0.011721022975334805
2019-03-01,2.374212533250031,3.2705851923756075,2.453141885909748,4.088028498841467,0.41707057523186564,False,194,Latvia,0.011721022975334805
2019-04-01,2.8447748247416804,2.530962274018988,1.705862476499038,3.356062071538938,0.42097702000048576,True,195,Latvia,0.011721022975334805
2019-05-01,2.415768982533084,2.9917384224104957,2.167365079575656,3.8161117652453354,0.4206063730442964,True,196,Latvia,0.011721022975334805
2019-06-01,2.6071618631604565,2.521005728522306,1.6949364308705754,3.347075026174037,0.4214716720142105,True,197,Latvia,0.011721022975334805
2019-07-01,2.8735767052759265,2.6912360070970753,1.8670885386115241,3.5153834755826265,0.4204911289117154,True,198,Latvia,0.011721022975334805
2019-08-01,2.7909602116202414,2.956719031730599,2.133987365011621,3.7794506984495775,0.4197687677980722,True,199,Latvia,0.011721022975334805
2019-09-01,2.7388352904089253,2.8773691227737377,2.0565064035185667,3.6982318420289086,0.41881520565175245,True,200,Latvia,0.011721022975334805
2019-10-01,2.5861822674420054,2.8154262926453355,1.9963078309444726,3.6345447543461984,0.41792526197520197,True,201,Latvia,0.011721022975334805
2019-11-01,2.468453282233174,2.650899781101229,1.8333246823429867,3.468474879859471,0.4171378174329582,True,202,Latvia,0.011721022975334805
2019-12-01,2.2354971495659015,2.514362225528842,1.698433621981739,3.330290829075945,0.41629775341947284,True,203,Latvia,0.011721022975334805
