period,actual,forecast,lower_ci,upper_ci,sigma_residual,in_ci,n_train,Country,alpha
2019-01-01,2.262452679132476,2.1885804907256636,1.6640855960809935,2.7130753853703338,0.26760435333598925,True,252,Norway,0.01743328822199989
2019-02-01,2.500510758045582,2.269246720661518,1.7457235973546452,2.7927698439683906,0.26710854252239136,True,253,Norway,0.01743328822199989
2019-03-01,2.5430244366514643,2.4580314115583293,1.934904269646509,2.9811585534701495,0.26690650748594374,True,254,Norway,0.01743328822199989
2019-04-01,2.599591649733668,2.4812586440678004,1.9590606965619646,3.003456591573636,0.2664324199959115,True,255,Norway,0.01743328822199989
2019-05-01,2.2585001118798687,2.5584713455320562,2.037190379593291,3.0797523114708216,0.26596456366064025,True,256,Norway,0.01743328822199989
2019-06-01,2.23474105754482,2.308929254653232,1.7869792670025684,2.8308792423038955,0.26630590754102546,True,257,Norway,0.01743328822199989
2019-07-01,2.3523662721433247,2.312909263438768,1.7917041472966382,2.834114379580898,0.2659258640736919,True,258,Norway,0.01743328822199989
2019-08-01,2.148628248985318,2.3627809971655047,1.8425798131334252,2.882982181197584,0.2654136444013054,True,259,Norway,0.01743328822199989
2019-09-01,2.1792337242596105,2.2200224170094467,1.6998601594520824,2.740184674566811,0.26539378359007504,True,260,Norway,0.01743328822199989
2019-10-01,2.3033040508927627,2.2836283416267578,1.7643083452728905,2.802948337980625,0.2649640505898053,True,261,Norway,0.01743328822199989
2019-11-01,2.3083106286376776,2.2909812357753885,1.7726427423522595,2.8093197291985175,0.2644632745865317,True,262,Norway,0.01743328822199989
2019-12-01,2.0818113293961993,2.283427685192236,1.7660358043559337,2.8008195660285384,0.2639803001062384,True,263,Norway,0.01743328822199989
