period,actual,forecast,lower_ci,upper_ci,sigma_residual,in_ci,n_train,Country,alpha
2019-01-01,1.4439347502998245,1.6360612359938975,1.22680482947126,2.045317642516535,0.2088081259404764,True,252,Belgium,0.02592943797404667
2019-02-01,1.6062378010130551,1.5159286964766976,1.1062289987422211,1.925628394211174,0.2090342990820931,True,253,Belgium,0.02592943797404667
2019-03-01,1.73340132130404,1.6514621197699337,1.2425391664247993,2.0603850731150684,0.20863799364206004,True,254,Belgium,0.02592943797404667
2019-04-01,1.8772981612869444,1.7710956081061007,1.3629771419965682,2.179214074215633,0.20822753342853184,True,255,Belgium,0.02592943797404667
2019-05-01,1.6459384954813139,1.8773732936332717,1.4700976386581508,2.2846489486083925,0.207797519846109,True,256,Belgium,0.02592943797404667
2019-06-01,1.9214564944620705,1.6919214044877524,1.2836580024093245,2.1001848065661806,0.2083014817102547,True,257,Belgium,0.02592943797404667
2019-07-01,1.7592537285357146,1.9160967982570267,1.5082763460081408,2.3239172505059127,0.20807548274647994,True,258,Belgium,0.02592943797404667
2019-08-01,1.6202468959953364,1.7699193609082384,1.3618201173526217,2.178018604463855,0.2082177258228475,True,259,Belgium,0.02592943797404667
2019-09-01,1.5231049556073017,1.6595613954517303,1.2513577045319968,2.067765086371464,0.20827101627356026,True,260,Belgium,0.02592943797404667
2019-10-01,1.7208662652048012,1.5812498888051845,1.1732645652532319,1.989235212357137,0.2081596023039652,True,261,Belgium,0.02592943797404667
2019-11-01,1.618765056230398,1.7167419890525581,1.3092310410879644,2.1242529370171517,0.20791756949565812,True,262,Belgium,0.02592943797404667
2019-12-01,1.59711357389547,1.635361651195963,1.2284113200310127,2.0423119823609133,0.207631535260302,True,263,Belgium,0.02592943797404667
