period,actual,forecast,lower_ci,upper_ci,sigma_residual,in_ci,n_train,Country,alpha
2019-01-01,0.7442883907080144,0.6741058132321557,-0.735550304403794,2.0837619308681052,0.7192255208540246,True,252,Israel,0.4175318936560405
2019-02-01,0.8510689667909688,0.9227224945692559,-0.4855410523217495,2.3309860414602612,0.7185150125202344,True,253,Israel,0.4175318936560405
2019-03-01,0.634251597646518,1.0051212774810652,-0.4013426994356766,2.411585254397807,0.7175968477026875,True,254,Israel,0.4175318936560405
2019-04-01,0.843886864586807,0.836630211438866,-0.5682795804207961,2.241540003298528,0.7168038815720142,True,255,Israel,0.4175318936560405
2019-05-01,1.0504298266877043,0.9986387967302848,-0.40464291061169844,2.401920504072268,0.7159732109420838,True,256,Israel,0.4175318936560405
2019-06-01,0.9468771428854161,1.158252660148712,-0.24342249516923964,2.5599278154666636,0.7151535264801734,True,257,Israel,0.4175318936560405
2019-07-01,0.7380107297626282,1.0778728261724497,-0.3220641333488188,2.4778097856937182,0.7142666755939358,True,258,Israel,0.4175318936560405
2019-08-01,0.7364578262212262,0.9159458258430441,-0.48245138725002834,2.3143430389361166,0.7134810762460184,True,259,Israel,0.4175318936560405
2019-09-01,0.6322465739492245,0.9143159833492909,-0.4823065186535296,2.3109384853521115,0.7125755947656185,True,260,Israel,0.4175318936560405
2019-10-01,0.5254872838364122,0.8332753222905285,-0.5616577303128225,2.2282083748938795,0.7117136149472159,True,261,Israel,0.4175318936560405
2019-11-01,0.31595602903653486,0.7501970861142209,-0.6430658943796232,2.143460066608065,0.710861521682911,True,262,Israel,0.4175318936560405
2019-12-01,0.5265941605292923,0.5875308344424873,-0.8042739315403514,1.9793356004253262,0.7101175210163132,True,263,Israel,0.4175318936560405
