period,actual,forecast,lower_ci,upper_ci,sigma_residual,in_ci,n_train,Country,alpha
2019-01-01,2.1525827596896363,2.1941770455366756,1.3327527175284577,3.0556013735448935,0.43951028427206984,True,132,Lithuania,0.18873918221350977
2019-02-01,2.253814592401948,2.1974894680295542,1.3385852523675579,3.0563936836915504,0.43822448904006567,True,133,Lithuania,0.18873918221350977
2019-03-01,2.4211540572982138,2.281925204007569,1.4255177731130702,3.1383326349020675,0.4369505958526438,True,134,Lithuania,0.18873918221350977
2019-04-01,2.482070509163492,2.4338701489613497,1.5796868082777071,3.2880534896449922,0.43581583509765065,True,135,Lithuania,0.18873918221350977
2019-05-01,2.336476559288414,2.5270058094282004,1.6753060567510778,3.3787055621053232,0.4345486750752675,True,136,Lithuania,0.18873918221350977
2019-06-01,2.3309825302646026,2.427680316708166,1.5774383936103977,3.2779222398059344,0.4338048708059781,True,137,Lithuania,0.18873918221350977
2019-07-01,2.647668838697559,2.4151079158965243,1.5668482015916356,3.263367630201413,0.43279352120541653,True,138,Lithuania,0.18873918221350977
2019-08-01,2.718427270544499,2.6802623921178412,1.8338745342167688,3.5266502500189136,0.4318384748787589,True,139,Lithuania,0.18873918221350977
2019-09-01,2.963665661068049,2.7269947685460627,1.88295285335693,3.5710366837351954,0.430641543337953,True,140,Lithuania,0.18873918221350977
2019-10-01,2.8256813833171357,2.943927408240333,2.1017906591960167,3.7860641572846494,0.4296695019331904,True,141,Lithuania,0.18873918221350977
2019-11-01,2.4897410067850956,2.833836952356174,1.9933396899678875,3.674334214744461,0.4288330137788357,True,142,Lithuania,0.18873918221350977
2019-12-01,3.215177740652564,2.522308523035512,1.6811479503909665,3.3634690956800575,0.429171443597695,True,143,Lithuania,0.18873918221350977
