period,actual,forecast,lower_ci,upper_ci,sigma_residual,in_ci,n_train,Country,alpha
2019-01-01,1.4439347502998245,1.6360612359938975,1.22680482947126,2.045317642516535,0.2088081259404764,True,252,Belgium,0.02592943797404667
2019-02-01,1.6062378010130551,1.5159286964766976,1.1062289987422211,1.925628394211174,0.2090342990820931,True,253,Belgium,0.02592943797404667
2019-03-01,1.73340132130404,1.6514621197699337,1.2425391664247993,2.0603850731150684,0.20863799364206004,True,254,Belgium,0.02592943797404667
2019-04-01,1.8772981612869444,1.7710956081061007,1.3629771419965682,2.179214074215633,0.20822753342853184,True,255,Belgium,0.02592943797404667
2019-05-01,1.6459384954813139,1.8773732936332717,1.4700976386581508,2.2846489486083925,0.207797519846109,True,256,Belgium,0.02592943797404667
2019-06-01,1.9214564944620705,1.6919214044877524,1.2836580024093245,2.1001848065661806,0.2083014817102547,True,257,Belgium,0.02592943797404667
2019-07-01,1.7592537285357146,1.9160967982570267,1.5082763460081408,2.3239172505059127,0.20807548274647994,True,258,Belgium,0.02592943797404667
2019-08-01,1.6202468959953364,1.7699193609082384,1.3618201173526217,2.178018604463855,0.2082177258228475,True,259,Belgium,0.02592943797404667
2019-09-01,1.5231049556073017,1.6595613954517303,1.2513577045319968,2.067765086371464,0.20827101627356026,True,260,Belgium,0.02592943797404667
2019-10-01,1.7208662652048012,1.5812498888051845,1.1732645652532319,1.989235212357137,0.2081596023039652,True,261,Belgium,0.02592943797404667
2019-11-01,1.618765056230398,1.7167419890525581,1.3092310410879644,2.1242529370171517,0.20791756949565812,True,262,Belgium,0.02592943797404667
2019-12-01,1.59711357389547,1.635361651195963,1.2284113200310127,2.0423119823609133,0.207631535260302,True,263,Belgium,0.02592943797404667
2019-01-01,1.3107020828029725,1.2394276685961727,0.7618196809543789,1.7170356562379665,0.24368202242954703,True,252,Germany,0.03856620421163472
2019-02-01,1.273833433142535,1.2491546637524331,0.7723961407168812,1.7259131867879849,0.2432486141562612,True,253,Germany,0.03856620421163472
2019-03-01,0.949692441772676,1.207161198842016,0.7312688676118554,1.6830535300721765,0.24280667144087265,True,254,Germany,0.03856620421163472
2019-04-01,1.8668619811426979,1.0624668817574177,0.5866247082963214,1.538309055218514,0.24278108027212672,False,255,Germany,0.03856620421163472
2019-05-01,1.1639248877881592,1.5583656210929142,1.0740162867441372,2.0427149554416912,0.2471215482372446,True,256,Germany,0.03856620421163472
2019-06-01,1.5821291570195406,1.1148339973974932,0.6292593415138463,1.6004086532811401,0.24774672377339477,True,257,Germany,0.03856620421163472
2019-07-01,1.6103212867435879,1.5316310956571915,1.0434173515686271,2.0198448397457556,0.24909322208955476,True,258,Germany,0.03856620421163472
2019-08-01,1.4154514123488227,1.4111731814470387,0.923908135600648,1.8984382272934295,0.24860918347983704,True,259,Germany,0.03856620421163472
2019-09-01,1.5411584344010798,1.386294116913792,0.8998528587921115,1.8727353750354723,0.24818887589704042,True,260,Germany,0.03856620421163472
2019-10-01,1.5751975124438822,1.433051092588199,0.9474936500776658,1.918608535098732,0.24773794127879306,True,261,Germany,0.03856620421163472
2019-11-01,1.6261912169230897,1.4414002568168856,0.9565062521784066,1.9262942614553644,0.24739944634863756,True,262,Germany,0.03856620421163472
2019-12-01,1.6736884890636183,1.5004606329708854,1.016241931184072,1.9846793347576988,0.24705489774621814,True,263,Germany,0.03856620421163472
2019-01-01,0.7442883907080144,0.6741058132321557,-0.735550304403794,2.0837619308681052,0.7192255208540246,True,252,Israel,0.4175318936560405
2019-02-01,0.8510689667909688,0.9227224945692559,-0.4855410523217495,2.3309860414602612,0.7185150125202344,True,253,Israel,0.4175318936560405
2019-03-01,0.634251597646518,1.0051212774810652,-0.4013426994356766,2.411585254397807,0.7175968477026875,True,254,Israel,0.4175318936560405
2019-04-01,0.843886864586807,0.836630211438866,-0.5682795804207961,2.241540003298528,0.7168038815720142,True,255,Israel,0.4175318936560405
2019-05-01,1.0504298266877043,0.9986387967302848,-0.40464291061169844,2.401920504072268,0.7159732109420838,True,256,Israel,0.4175318936560405
