period,Belgium,Germany,Israel,Korea,Latvia,Lithuania,Norway,Switzerland
1996-01-01,61.71277757553696,83.6423118865867,82.54437869822485,57.37063778580024,,,81.18657298985168,106.80609393311096
1996-02-01,62.28613032398981,83.6423118865867,82.54437869822485,56.578419574809466,,,81.18657298985168,106.42747678716307
1996-03-01,62.00400436840189,83.96946564885496,82.54437869822485,56.267549137585235,,,81.18657298985168,106.38240331740738
1996-04-01,61.65817255187478,84.29661941112322,81.36094674556212,56.748896911351785,,,81.34270101483216,106.6348147480393
1996-05-01,61.09392064069894,84.29661941112322,81.36094674556212,56.38788608102687,,,81.34270101483216,105.77841882268098
1996-06-01,61.40334910811794,83.6423118865867,81.36094674556212,56.60850381066987,,,81.34270101483216,104.91300820337148
1996-07-01,61.17582817619221,83.20610687022901,81.95266272189347,57.83192940232652,,,80.17174082747854,104.36311187235192
1996-08-01,60.829996359665095,83.09705561613958,81.95266272189347,58.273164861612514,,,80.17174082747854,103.56981880465158
1996-09-01,62.81397888605752,83.6423118865867,81.95266272189347,59.16566385880465,,,80.17174082747854,104.03858289011087
1996-10-01,62.5318529304696,84.29661941112322,81.26232741617358,59.65703971119134,,,80.32786885245903,104.59749391508157
1996-11-01,62.24062613760466,84.29661941112322,81.26232741617358,59.777376654632974,,,80.32786885245903,103.79518615343008
1996-12-01,63.196214051692756,84.95092693565977,81.26232741617358,60.56959486562374,,,80.32786885245903,104.08365635986657
1997-01-01,63.560247542773936,85.82333696837514,79.78303747534517,61.211391897312474,,,78.14207650273224,104.77778779410438
1997-02-01,65.0345831816527,86.47764449291166,79.78303747534517,61.34175691937425,,,78.14207650273224,105.77841882268098
1997-03-01,65.42591918456499,86.47764449291166,79.78303747534517,60.82029683112715,,,78.14207650273224,106.10294780492202
1997-04-01,65.2165999271933,86.36859323882224,78.00788954635107,61.33172884075411,,,78.064012490242,107.11259352744973
1997-05-01,64.9981798325446,86.80479825517993,78.00788954635107,61.45206578419575,,,78.064012490242,107.92391598305238
1997-06-01,64.7524572260648,86.5866957470011,78.00788954635107,61.64259927797834,,,78.064012490242,107.79771026773642
1997-07-01,65.83545686203132,87.24100327153762,77.31755424063117,60.84035298836743,,,81.10850897736145,107.62643108266474
1997-08-01,67.06406989443029,88.113413304253,77.31755424063117,61.040914560770155,,,81.10850897736145,108.48282700802308
1997-09-01,66.73643975245723,87.45910577971647,77.31755424063117,61.50220617729643,,,81.10850897736145,108.31154782295141
1997-10-01,66.13578449217329,87.24100327153762,77.41617357001972,62.535098275170476,,,80.17174082747854,108.1763274136843
1997-11-01,65.78085183836913,87.02290076335876,77.41617357001972,65.48335338949057,,,80.17174082747854,107.49121067339762
1997-12-01,65.7717510010921,87.02290076335876,77.41617357001972,81.94945848375451,,,80.17174082747854,107.1486523032543
1998-01-01,65.7080451401529,87.02290076335876,74.85207100591717,96.53028479743281,57.921291624621595,,79.07884465261515,106.84215270891553
1998-02-01,65.8627593738624,86.5866957470011,74.85207100591717,94.41436020858404,57.921291624621595,,79.07884465261515,106.31930045974937
1998-03-01,65.48052420822717,86.04143947655399,74.85207100591717,90.63377456879262,57.921291624621595,,79.07884465261515,105.84152168033893
1998-04-01,65.05278485620678,85.82333696837514,74.06311637080867,82.35058162855996,57.11402623612513,,78.2201405152225,106.53565311457676
1998-05-01,64.18820531488898,85.38713195201744,74.06311637080867,81.06698756518252,57.11402623612513,,78.2201405152225,106.41846209321193
1998-06-01,64.9708773207135,84.51472191930208,74.06311637080867,80.2146008824709,57.11402623612513,,78.2201405152225,105.5169926980979
1998-07-01,63.860575172915915,84.07851690294437,72.18934911242604,76.95547533092659,56.40766902119072,,80.01561280249805,105.59812494365816
1998-08-01,63.6421550782672,83.42420937840785,72.18934911242604,73.37545126353791,56.40766902119072,,80.01561280249805,104.94005228522492
1998-09-01,63.560247542773936,82.76990185387132,72.18934911242604,76.28359406337745,56.40766902119072,,80.01561280249805,104.14675921752456
1998-10-01,62.795777211503456,81.89749182115594,73.47140039447731,78.52988367428802,54.59132189707366,,77.28337236533959,103.20021635265482
1998-11-01,62.25882781215872,81.67938931297711,73.47140039447731,75.4713196951464,54.59132189707366,,77.28337236533959,101.8750563418372
1998-12-01,62.28613032398981,81.2431842966194,73.47140039447731,70.09626955475332,54.59132189707366,,77.28337236533959,101.2800865410619
1999-01-01,62.040407717510014,81.13413304252998,71.00591715976331,67.80986762936222,53.784056508577194,,75.80015612802498,101.03668980438114
1999-02-01,62.22242446305061,81.2431842966194,71.00591715976331,66.19534697152027,53.784056508577194,,75.80015612802498,100.85639592535833
1999-03-01,63.43283582089553,81.89749182115594,71.00591715976331,68.31127156036904,53.784056508577194,,75.80015612802498,101.05471919228341
1999-04-01,63.560247542773936,82.44274809160305,70.11834319526626,69.69514640994785,52.87588294651867,,74.94145199063233,101.68574776886324
1999-05-01,63.52384419366581,82.76990185387132,70.11834319526626,69.69514640994785,52.87588294651867,,74.94145199063233,102.22662940593166
1999-06-01,64.00618856934838,82.98800436205015,70.11834319526626,68.72242278379463,52.87588294651867,,74.94145199063233,102.09140899666455
1999-07-01,65.48052420822717,83.6423118865867,72.28796844181458,69.3742478941035,53.784056508577194,,75.0975800156128,102.58721716397727
1999-08-01,64.82526392428105,84.18756815703381,72.28796844181458,73.29522663457682,53.784056508577194,,75.0975800156128,102.84864328856035
1999-09-01,65.87186021113942,84.95092693565977,72.28796844181458,74.8596068993181,53.784056508577194,,75.0975800156128,103.42558370143334
1999-10-01,66.11758281761922,85.38713195201744,73.37278106508876,77.35659847573206,53.68314833501514,,75.95628415300547,103.89434778689264
1999-11-01,66.99126319621406,86.47764449291166,73.37278106508876,76.82511030886482,53.68314833501514,,75.95628415300547,103.99350942035517
1999-12-01,68.71132144157262,88.00436205016358,73.37278106508876,75.34095467308464,53.68314833501514,,75.95628415300547,105.39980167673306
2000-01-01,69.42118674918093,88.54961832061069,74.55621301775147,75.92258323305255,57.01311806256307,,76.19047619047619,105.83250698638781
2000-02-01,70.31306880232982,89.6401308615049,74.55621301775147,76.24348174889691,57.01311806256307,,76.19047619047619,107.45515189759307
2000-03-01,71.24135420458683,90.40348964013086,74.55621301775147,76.20336943441636,57.01311806256307,,76.19047619047619,108.12223924997745
2000-04-01,71.15034583181654,90.29443838604143,73.96449704142012,74.19775371038908,56.205852674066605,,77.59562841530055,108.21238618948887
2000-05-01,72.36075718966146,91.82115594329335,73.96449704142012,75.78219013237063,56.205852674066605,,77.59562841530055,109.09582619670061
2000-06-01,72.55187477247908,91.82115594329335,73.96449704142012,76.99558764540714,56.205852674066605,,77.59562841530055,109.2941494636257
2000-07-01,72.73389151801966,92.25736095965102,73.96449704142012,76.15322904131568,57.31584258324924,,78.68852459016394,109.6096637519156
2000-08-01,74.08991627229705,93.12977099236642,73.96449704142012,76.21339751303651,57.31584258324924,,78.68852459016394,109.51951681240422
2000-09-01,75.50054605023662,94.87459105779716,73.96449704142012,78.06859205776173,57.31584258324924,,78.68852459016394,111.93545479130984
2000-10-01,75.56425191117583,95.31079607415485,72.97830374753451,78.51985559566786,58.022199798183664,,79.62529274004683,111.49373478770394
2000-11-01,76.94757917728431,95.63794983642312,72.97830374753451,79.54271961492178,58.022199798183664,,79.62529274004683,111.881366627603
2000-12-01,76.09210047324353,93.89312977099236,72.97830374753451,79.35218612113918,58.022199798183664,,79.62529274004683,111.23230866312088
2001-01-01,74.40844557699309,93.23882224645584,73.66863905325444,82.26032892097874,58.930373360242186,,79.23497267759562,109.17695844226087
2001-02-01,75.30032763014198,93.56597600872409,73.66863905325444,81.57841957480946,58.930373360242186,,79.23497267759562,108.8253853781664
2001-03-01,74.29923552966872,93.45692475463467,73.66863905325444,82.08985158443642,58.930373360242186,,79.23497267759562,108.63607680519247
2001-04-01,74.8179832544594,93.89312977099236,72.97830374753451,84.02527075812274,58.82946518668012,,78.68852459016394,108.95159109348236
2001-05-01,75.53694939934475,94.76553980370774,72.97830374753451,82.90212595266748,58.82946518668012,,78.68852459016394,108.94257639953122
2001-06-01,76.95668001456134,94.76553980370774,72.97830374753451,82.09987966305657,58.82946518668012,,78.68852459016394,108.79834129631298
2001-07-01,75.81907535493266,93.45692475463467,73.37278106508876,80.22462896109106,57.31584258324924,,76.11241217798596,108.68115027494815
2001-08-01,74.89989078995268,92.5845147219193,73.37278106508876,79.43241075010027,57.31584258324924,,76.11241217798596,107.7526367979807
2001-09-01,73.9170003640335,92.25736095965102,73.37278106508876,78.93100681909345,57.31584258324924,,76.11241217798596,107.58135761290903
2001-10-01,73.143429195486,90.94874591057798,71.59763313609466,76.66466105094264,57.21493440968719,,75.01951600312256,106.22013882628684
2001-11-01,72.8066982162359,90.73064340239912,71.59763313609466,73.014440433213,57.21493440968719,,75.01951600312256,104.90399350942035
