period,Belgium – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/BEL.CPGRLE01.IXOB.M),Switzerland – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/CHE.CPGRLE01.IXOB.M),Germany – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/DEU.CPGRLE01.IXOB.M),Israel – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/ISR.CPGRLE01.IXOB.M),Korea – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/KOR.CPGRLE01.IXOB.M),Lithuania – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/LTU.CPGRLE01.IXOB.M),Latvia – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/LVA.CPGRLE01.IXOB.M),Norway – Consumer Price Index > OECD Groups > All items non-food non-energy > Total – Index 2015=100 – Monthly (OECD/MEI/NOR.CPGRLE01.IXOB.M)
1996-01-01,72.4847853913625,92.733334838529,79.4236829533984,62.6420454545454,61.5341484637621,59.9605,45.9192626349206,70.020753
1996-02-01,72.6137273501185,92.9287092384592,79.9026984568538,63.28125,61.7129376168675,60.7372,46.6115128253968,70.137589
1996-03-01,72.5708757238108,92.9630582275784,79.7865149619102,63.6008522727273,62.3730821821798,61.8048,47.0537837804233,70.455849
1996-04-01,72.5715653973609,92.9610599144555,79.6532052538366,64.453125,62.611115078326,62.4013,47.3326067738095,70.503354
1996-05-01,72.3748886358435,92.6797951590914,79.83781440616,65.9446022727273,62.7899042314314,62.8099,47.6306589391534,70.524321
1996-06-01,72.4399033240237,92.6994243274312,80.0400851307636,66.5838068181818,62.909449641496,63.9498,48.2748361997354,70.665791
1996-07-01,73.1542369674376,92.7307430545135,80.1513268489361,66.6903409090909,63.0300529755434,64.9433,48.9190134603175,70.525786
1996-08-01,73.5203559033642,93.1752956172792,80.2552234818055,66.6903409090909,63.3294454626963,65.2939,49.3997427592593,70.599062
1996-09-01,73.2242152778144,93.1843288500789,80.2332674210364,66.9034090909091,63.4500487967437,65.812,50.1112221216931,71.000265
1996-10-01,73.2387176040583,93.1288229329612,80.1634278664138,67.5426136363636,63.5695942068083,66.0288,50.649638936508,71.134583
1996-11-01,73.4445745028248,93.0832544071481,80.0826076415687,68.0752840909091,63.5695942068083,66.3799,51.2168995092593,71.081282
1996-12-01,73.5564638564491,93.0713261224856,80.3788914454996,68.7144886363636,63.6288379498491,66.782,51.4380349867725,71.147989
1997-01-01,73.8347148487228,93.1570914348286,80.8910105177095,68.9275568181818,63.8679287699782,67.365,52.3033477248677,71.221372
1997-02-01,73.9813375670011,93.3393761964729,81.0518906940504,69.5667613636364,64.1070195901074,68.3274,52.4091081706349,71.590132
1997-03-01,73.7389817979228,93.3962822532941,81.1609666891124,70.0994318181818,64.5270154113076,68.6783,52.7167749219577,71.763975
1997-04-01,73.5156832555705,93.436870151671,80.9614720181693,70.7386363636364,64.7068624883959,69.3912,53.4282542843915,71.95138
1997-05-01,73.371385028835,93.0824223406826,81.1123186981687,71.0582386363636,64.8856516415013,70.5533,53.6013168320106,71.832506
1997-06-01,73.4496296968334,93.0743293023808,81.207812198657,72.1235795454546,65.0051970515659,71.0816,53.7647647936508,72.129693
1997-07-01,74.1528287359084,93.087553448971,82.1297787944916,72.9758522727273,65.1247424616304,71.539,55.0819630727513,72.127599
1997-08-01,74.4295081219724,93.2692858091238,82.1788660544816,72.8693181818182,65.3648912057424,71.949,56.504921797619,71.924918
1997-09-01,73.9313415417244,93.2644782827956,81.9920563331859,72.7627840909091,65.6050399498544,72.3058,57.1394844722222,72.509522
1997-10-01,73.9448918168876,93.2258061977781,81.8541775934695,73.7215909090909,65.7235274359361,72.553,57.3125470198413,72.580246
1997-11-01,74.1191502211359,93.1851136305836,81.8665542100364,73.6150568181818,65.7848870269427,72.9389,57.4375366375661,72.64305
1997-12-01,74.1860816409933,93.207625207106,82.0587755992704,73.4019886363636,66.0832215901126,73.1201,57.5336824973545,72.690666
1998-01-01,74.6015053568981,93.2603043341971,82.0769397967094,73.6150568181818,67.2797336147411,73.4699,58.1297868280423,72.736806
1998-02-01,74.8618834348531,93.4139657888413,82.3943486404012,73.6150568181818,67.9388202560705,74.3058,58.1970889298942,73.179253
1998-03-01,74.7547023215789,93.4525670652382,82.3597319164945,73.4019886363636,68.4773035633524,74.917,58.322078547619,73.59921
1998-04-01,74.8803631435064,93.4816468181226,82.3679291415101,74.4673295454546,68.596848973417,75.6555,58.8797245343915,73.767059
1998-05-01,75.2051156650492,93.2431282102972,82.4431159520234,74.5738636363636,68.4773035633524,76.6066,59.0143287380952,73.746032
