period,cpi_yoy
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,0.09561934660227411
1997-02-01,0.09469780991378673
1997-03-01,0.09728781793271501
1997-04-01,0.09305369144559261
1997-05-01,0.07468477323102718
1997-06-01,0.07991962317587475
1997-07-01,0.09006846716212724
1997-08-01,0.08860754652245273
1997-09-01,0.08395469310259163
1997-10-01,0.0875370011804435
1997-11-01,0.07823536939013476
1997-12-01,0.06599095421788537
1998-01-01,0.06579352926676929
1998-02-01,0.05656269449123741
1998-03-01,0.04603633968834053
1998-04-01,0.0513685927573766
1998-05-01,0.048290289127780994
1998-06-01,0.04194396458096694
1998-07-01,0.028778964550043362
1998-08-01,0.03307274827402207
1998-09-01,0.04438810276879401
1998-10-01,0.0630019365716672
1998-11-01,0.07792536136514805
1998-12-01,0.08082391411915957
1999-01-01,0.06986080152841811
1999-02-01,0.060369204846845825
1999-03-01,0.06326775760085734
1999-04-01,0.04885828638070411
1999-05-01,0.0528634895570681
1999-06-01,0.048385387802844626
1999-07-01,0.05384323202082264
1999-08-01,0.05503451923624425
1999-09-01,0.05052268942455118
1999-10-01,0.022804475818620773
1999-11-01,0.008000042667075213
1999-12-01,0.0053404666313179305
2000-01-01,0.008064559836729934
2000-02-01,0.010840214552864325
2000-03-01,0.005434795985957308
2000-04-01,0.01353200621857642
2000-05-01,0.016129381929883557
2000-06-01,0.016064602503805148
2000-07-01,0.012024192966801017
2000-08-01,0.004008021397538641
2000-09-01,-0.010709607046375247
2000-10-01,-0.01066676780419673
2000-11-01,-0.00933962759613216
2000-12-01,-0.0053404666313179305
2001-01-01,-0.004024150299725804
2001-02-01,0.0
2001-03-01,0.008097210232619112
2001-04-01,0.009364616931043734
2001-05-01,0.0026631174194839957
2001-06-01,0.0026525214491313065
2001-07-01,0.010568130061793468
2001-08-01,0.01718482475410177
2001-09-01,0.026561986566697726
2001-10-01,0.022532431080697357
2001-11-01,0.017276177191869913
2001-12-01,0.015936592262812965
2002-01-01,0.033049934672552794
2002-02-01,0.044803277015840415
2002-03-01,0.04981370571221966
2002-04-01,0.05315574005029067
2002-05-01,0.06437228391667471
2002-06-01,0.07524261675351607
2002-07-01,0.07100573699831703
2002-08-01,0.05977621638202635
2002-09-01,0.05977621638202635
2002-10-01,0.06593008195640504
2002-11-01,0.06379713966286182
2002-12-01,0.06256028112546463
2003-01-01,0.0507079475528478
2003-02-01,0.04288172748326424
2003-03-01,0.033944176513180935
2003-04-01,0.020000666706669
2003-05-01,0.0
2003-06-01,-0.019851768552730853
2003-07-01,-0.029815873225154554
2003-08-01,-0.017435061822100195
2003-09-01,-0.025001302205416742
2003-10-01,-0.029890145473208563
2003-11-01,-0.026300827200613774
2003-12-01,-0.028878340738685893
2004-01-01,-0.033944176513180935
2004-02-01,-0.03390155167568043
2004-03-01,-0.03266622106768846
2004-04-01,-0.020000666706669
2004-05-01,-0.007509422022130785
2004-06-01,-0.0012539186595947882
2004-07-01,0.0037759642095354096
2004-08-01,0.0012554929458303832
2004-09-01,0.0037902761737811375
2004-10-01,0.0012634240467717106
2004-11-01,0.0012682309879954445
2004-12-01,0.0012730746467966014
2005-01-01,-0.001279590705625111
2005-02-01,-0.003838776307166114
2005-03-01,-0.005121650120055499
2005-04-01,-0.010152371464017484
2005-05-01,-0.012642393415178255
2005-06-01,-0.007556711022560059
2005-07-01,0.0037617599218906506
2005-08-01,0.0025062669760602674
2005-09-01,0.0012602396122876058
2005-10-01,0.007547205635383136
2005-11-01,0.013845406822053263
2005-12-01,0.02015181543730904
2006-01-01,0.02278579592658847
2006-02-01,0.02531780798428951
2006-03-01,0.030343668076013408
2006-04-01,0.02891464791954057
2006-05-01,0.02388548498935794
2006-06-01,0.020025700502294796
2006-07-01,0.011201112754820386
2006-08-01,0.008722796740354255
2006-09-01,0.007528266420790963
2006-10-01,-0.0025094116054251714
2006-11-01,-0.007528266420790963
2006-12-01,-0.011285386231666195
2007-01-01,-0.010062977998620326
2007-02-01,-0.012578782206859707
2007-03-01,-0.01505674617910735
2007-04-01,-0.018762276455523086
2007-05-01,-0.017544309650909362
2007-06-01,-0.008711940602021961
2007-07-01,0.0024721891453891587
2007-08-01,0.008647367041182186
2007-09-01,0.009950330853167877
2007-10-01,0.011243091574179687
2007-11-01,0.01375881617142749
2007-12-01,0.018738836886246446
2008-01-01,0.01505674617910735
2008-02-01,0.010075651988741718
2008-03-01,0.011313759900272835
2008-04-01,0.02247285585205816
2008-05-01,0.026202372394023676
2008-06-01,0.019802627296179764
2008-07-01,0.014706147389695445
2008-08-01,0.02189868530763661
2008-09-01,0.028067736334352666
2008-10-01,0.03419136474827855
2008-11-01,0.03898179307091176
2008-12-01,0.04359043607486157
2009-01-01,0.04623694602618578
2009-02-01,0.04771547303966628
2009-03-01,0.04997993230502029
2009-04-01,0.04466644698557065
2009-05-01,0.04691178841169652
2009-06-01,0.051354567020148956
2009-07-01,0.05329858172436186
2009-08-01,0.04471333040994452
2009-09-01,0.04356191980490287
2009-10-01,0.04345956948178742
2009-11-01,0.03981790636302751
2009-12-01,0.03148948225654635
2010-01-01,0.029293248589487675
2010-02-01,0.031748698314580714
2010-03-01,0.029293248589487675
2010-04-01,0.027941282200448114
2010-05-01,0.0278117577842405
2010-06-01,0.025288703951924063
2010-07-01,0.02054866822738788
2010-08-01,0.022754110248512482
2010-09-01,0.021653267649228702
2010-10-01,0.01935177066094962
2010-11-01,0.020455258661401743
2010-12-01,0.024944604023996675
2011-01-01,0.02958122401757457
2011-02-01,0.03301381207244347
2011-03-01,0.034055504412495274
2011-04-01,0.03386328075583478
2011-05-01,0.03371105734231161
2011-06-01,0.03238697357471576
2011-07-01,0.027856954502966325
2011-08-01,0.02773333594024585
2011-09-01,0.02998558914457128
2011-10-01,0.03107908296594264
2011-11-01,0.02444566174605356
2011-12-01,0.021053409197832273
2012-01-01,0.021076764679948568
2012-02-01,0.016657797724794143
2012-03-01,0.016602484285027863
2012-04-01,0.01978086474735008
2012-05-01,0.015351178655761188
2012-06-01,0.009841522844792117
2012-07-01,0.01310062404569834
2012-08-01,0.014122994111705367
2012-09-01,0.008714652102443488
2012-10-01,0.006535970979784977
2012-11-01,0.008743225095729557
2012-12-01,0.009820046180974984
2013-01-01,0.007654493360531589
2013-02-01,0.006586192852856776
2013-03-01,0.006564574996507311
2013-04-01,0.0032591012009062226
2013-05-01,0.005425949285996268
2013-06-01,0.010822616458150414
2013-07-01,0.010787591128996965
2013-08-01,0.007522872662987012
