period,cpi_yoy
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,0.037225057921215665
1997-02-01,0.03806027313783655
1997-03-01,0.03395017267668443
1997-04-01,0.032924442657057185
1997-05-01,0.032832215256275
1997-06-01,0.03277083614214771
1997-07-01,0.03269290153572513
1997-08-01,0.03163488842395967
1997-09-01,0.03339955828444818
1997-10-01,0.033321687913541176
1997-11-01,0.03425485398827277
1997-12-01,0.037848086437756834
1998-01-01,0.052041718096517364
1998-02-01,0.058053730167705986
1998-03-01,0.05941837582569054
1998-04-01,0.05837933818129848
1998-05-01,0.053875840362038296
1998-06-01,0.05027236525344225
1998-07-01,0.048435041050550076
1998-08-01,0.042135345273357494
1998-09-01,0.03846810637153375
1998-10-01,0.03666366243994901
1998-11-01,0.03486116057611266
1998-12-01,0.028595469081220237
1999-01-01,0.010651293678550111
1999-02-01,0.0017736018091323302
1999-03-01,-0.004381727648794964
1999-04-01,-0.00699530825956618
1999-05-01,-0.006121155629335462
1999-06-01,-0.005229236609785914
1999-07-01,-0.006131988507728892
1999-08-01,-0.003513029789672828
1999-09-01,-0.003513029789672828
1999-10-01,-0.0017394279805404977
1999-11-01,-0.0008700921914357451
1999-12-01,0.0008708499111893531
2000-01-01,0.006512963615197265
2000-02-01,0.007664889919671403
2000-03-01,0.012965471340186774
2000-04-01,0.014845232971929967
2000-05-01,0.012711675619157425
2000-06-01,0.014579633998638819
2000-07-01,0.01949144990255469
2000-08-01,0.021474729981456164
2000-09-01,0.026446120576515852
2000-10-01,0.02567292810915145
2000-11-01,0.02567292810915145
2000-12-01,0.028637955090765388
2001-01-01,0.03186848031148948
2001-02-01,0.033760656124815824
2001-03-01,0.03352774165873651
2001-04-01,0.03543106648169747
2001-05-01,0.04035285631360708
2001-06-01,0.0403428929400258
2001-07-01,0.03534668383934214
2001-08-01,0.03530729657490017
2001-09-01,0.032261343656257324
2001-10-01,0.0312609343144894
2001-11-01,0.0322002598304687
2001-12-01,0.03212106863053865
2002-01-01,0.027088158780823157
2002-02-01,0.026025196345757173
2002-03-01,0.02773999653798853
2002-04-01,0.029540591650106585
2002-05-01,0.02949912175539371
2002-06-01,0.028511976660682947
2002-07-01,0.030443287311991973
2002-08-01,0.03035651135819073
2002-09-01,0.031238763174529893
2002-10-01,0.03403859161324885
2002-11-01,0.03494258459155919
2002-12-01,0.034843625423510716
2003-01-01,0.0346983081761838
2003-02-01,0.03460117998130485
2003-03-01,0.036134533320979045
2003-04-01,0.034153889385163616
2003-05-01,0.033177564647188795
2003-06-01,0.03409093310260314
2003-07-01,0.03223339909059053
2003-08-01,0.031289650685346615
2003-09-01,0.03118948173705416
2003-10-01,0.028389653298335205
2003-11-01,0.02564924476575836
2003-12-01,0.028274076404410486
2004-01-01,0.027281423734011767
2004-02-01,0.025416406534059632
2004-03-01,0.023388622518726088
2004-04-01,0.02155043097398046
2004-05-01,0.021531244167572794
2004-06-01,0.021498258803363868
2004-07-01,0.0259524107404685
2004-08-01,0.025929021982141087
2004-09-01,0.02322150143767754
2004-10-01,0.02322150143767754
2004-11-01,0.023228611778877806
2004-12-01,0.021358637020444604
2005-01-01,0.026556870746273553
2005-02-01,0.02766558824846399
2005-03-01,0.02465685495561587
2005-04-01,0.02478059804438182
2005-05-01,0.023899439195775862
2005-06-01,0.023019056104570446
2005-07-01,0.019478272622880155
2005-08-01,0.020584077329885098
2005-09-01,0.020584077329885098
2005-10-01,0.020584077329885098
2005-11-01,0.022477052901113126
2005-12-01,0.02091196923514893
2006-01-01,0.01499786536093417
2006-02-01,0.015977311908374148
2006-03-01,0.017851288481914196
2006-04-01,0.017820267410993296
2006-05-01,0.02077911821417988
2006-06-01,0.019780835954501086
2006-07-01,0.021750513927055515
2006-08-01,0.019754729522963643
2006-09-01,0.02172053548955777
2006-10-01,0.02172053548955777
2006-11-01,0.022666593779765876
2006-12-01,0.021669489572622602
2007-01-01,0.022590803722740027
2007-02-01,0.02445647485674929
2007-03-01,0.025267720216850087
2007-04-01,0.026193073035170045
2007-05-01,0.02418331907946225
2007-06-01,0.025181601339141046
2007-07-01,0.025132667992681768
2007-08-01,0.026079046273903117
2007-09-01,0.024113240307308992
2007-10-01,0.026028491072320747
2007-11-01,0.02501053567170164
2007-12-01,0.02592824964618412
2008-01-01,0.027767246859832895
2008-02-01,0.02668943969831883
2008-03-01,0.03021106040376953
2008-04-01,0.03015416634515944
2008-05-01,0.03290814163520839
2008-06-01,0.034754548087836845
2008-07-01,0.037453199698597395
2008-08-01,0.036506821417376045
2008-09-01,0.040172496873992714
2008-10-01,0.0391776215902393
2008-11-01,0.04189545636146441
2008-12-01,0.04363386397850899
2009-01-01,0.03888766360583773
2009-02-01,0.03966580956228771
2009-03-01,0.032939882311139534
2009-04-01,0.03017772861425172
2009-05-01,0.03007972174453233
2009-06-01,0.030025058329878007
2009-07-01,0.02630625346318638
2009-08-01,0.02719420052885102
2009-09-01,0.02531387034856447
2009-10-01,0.02439349486730613
2009-11-01,0.023410726231904988
2009-12-01,0.021564242005307932
2010-01-01,0.024042616239658976
2010-02-01,0.02151434972896915
2010-03-01,0.01701470318232534
2010-04-01,0.018926519962242594
2010-05-01,0.017331129850292726
2010-06-01,0.016531051081092762
2010-07-01,0.017645755668713292
2010-08-01,0.018757437245533914
2010-09-01,0.017958806232985403
2010-10-01,0.017958806232985403
2010-11-01,0.015292641333431334
2010-12-01,0.016492477673094363
2011-01-01,0.018964522909343806
2011-02-01,0.020889244257313422
2011-03-01,0.023843016468777734
2011-04-01,0.024789598330690943
2011-05-01,0.026697120558895726
2011-06-01,0.02764697298562968
2011-07-01,0.027580752400955255
2011-08-01,0.02752640762550218
2011-09-01,0.025567524444295664
2011-10-01,0.025567524444295664
2011-11-01,0.027499630192541424
2011-12-01,0.02645025692617331
2012-01-01,0.023817961489201345
2012-02-01,0.023736591311624977
2012-03-01,0.017800051887984836
2012-04-01,0.015555089314302606
2012-05-01,0.014621529018499224
2012-06-01,0.013743443275016531
2012-07-01,0.0118838683774376
2012-08-01,0.011570562695603748
2012-09-01,0.013502788843660518
2012-10-01,0.013982472038847504
2012-11-01,0.013577126679671814
2012-12-01,0.01316191356548213
2013-01-01,0.014849631647959605
2013-02-01,0.013556476134508166
2013-03-01,0.015113300905469806
2013-04-01,0.01474140498125287
2013-05-01,0.01554726239341786
2013-06-01,0.015057080566902137
2013-07-01,0.015154917205053131
2013-08-01,0.013049018420237424
2013-09-01,0.015115981008115398
2013-10-01,0.015767699828441728
