period,cpi_yoy
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,0.017001272376732324
1997-02-01,0.020498373227026967
1997-03-01,0.018396350873693734
1997-04-01,0.020330329980865258
1997-05-01,0.018379474357825387
1997-06-01,0.020504195884754495
1997-07-01,0.02245835703107346
1997-08-01,0.018605911068537928
1997-09-01,0.021034281738876004
1997-10-01,0.02011917314989642
1997-11-01,0.021733682157472956
1997-12-01,0.02145092574427565
1998-01-01,0.021054586863303193
1998-02-01,0.021954708592606842
1998-03-01,0.0252516827885767
1998-04-01,0.02492166381128058
1998-05-01,0.026290086974669613
1998-06-01,0.024697139317749084
1998-07-01,0.022531639142518323
1998-08-01,0.024413299294931967
1998-09-01,0.024969247153232565
1998-10-01,0.025446908816016744
1998-11-01,0.024673672489591958
1998-12-01,0.02580207133171797
1999-01-01,0.02440502399412292
1999-02-01,0.02043734192712776
1999-03-01,0.02533766261986603
1999-04-01,0.025814112011147472
1999-05-01,0.024505032364422696
1999-06-01,0.023758826853621073
1999-07-01,0.022381952349887158
1999-08-01,0.018408986865818378
1999-09-01,0.019336600097216383
1999-10-01,0.018964550923923795
1999-11-01,0.02118544970026992
1999-12-01,0.019914212632614614
2000-01-01,0.023213037678833537
2000-02-01,0.02488590289536763
2000-03-01,0.01577892101507672
2000-04-01,0.018074653983624955
2000-05-01,0.020877598800123742
2000-06-01,0.02223662438477625
2000-07-01,0.02177745652387575
2000-08-01,0.02920419014639819
2000-09-01,0.027110053683729873
2000-10-01,0.026413494956884165
2000-11-01,0.027402638816578673
2000-12-01,0.026087534632678988
2001-01-01,0.030027793691282945
2001-02-01,0.033755079340992644
2001-03-01,0.03391974460611724
2001-04-01,0.030877271218819224
2001-05-01,0.031581253058361014
2001-06-01,0.028638157058029634
2001-07-01,0.03298827907801005
2001-08-01,0.029718465556871188
2001-09-01,0.028602318085886758
2001-10-01,0.030745501702932998
2001-11-01,0.029075164362481587
2001-12-01,0.033161240742651366
2002-01-01,0.023807016738741638
2002-02-01,0.017577812793539316
2002-03-01,0.021706498819387576
2002-04-01,0.02163197811932882
2002-05-01,0.0237562697902991
2002-06-01,0.024268431566356163
2002-07-01,0.02136349367231638
2002-08-01,0.01746761578736944
2002-09-01,0.015594923513054582
2002-10-01,0.017075536290743543
2002-11-01,0.015834525018371792
2002-12-01,0.013348739608038507
2003-01-01,0.023187616239750852
2003-02-01,0.024312515611391916
2003-03-01,0.016921789020480915
2003-04-01,0.014922059127778553
2003-05-01,0.0092089952193799
2003-06-01,0.005364403630998105
2003-07-01,0.003011632342786008
2003-08-01,0.006609584144082525
2003-09-01,0.006094804299555889
2003-10-01,0.004452875996020289
2003-11-01,0.002271549208985313
2003-12-01,0.0009272113538756344
2004-01-01,-0.007426285731671811
2004-02-01,-0.008455755483918637
2004-03-01,-0.001354380369014585
2004-04-01,0.00034202595670951297
2004-05-01,0.0012167253280237489
2004-06-01,0.004727441796083198
2004-07-01,0.0065501541808234975
2004-08-01,0.005209431563010014
2004-09-01,0.010024511286680138
2004-10-01,0.010709070938672127
2004-11-01,0.013543807767549154
2004-12-01,0.013290715680668974
2005-01-01,0.011444746052803545
2005-02-01,0.012240719393992627
2005-03-01,0.011530575748592398
2005-04-01,0.013375932640870225
2005-05-01,0.016109230071313263
2005-06-01,0.013589125022843263
2005-07-01,0.01363079549335744
2005-08-01,0.017058293113905165
2005-09-01,0.014534698985836592
2005-10-01,0.01469890543370056
2005-11-01,0.014608828627761916
2005-12-01,0.014065765180227174
2006-01-01,0.011344575357147946
2006-02-01,0.014066906411830615
2006-03-01,0.011272942714151135
2006-04-01,0.011138232653106428
2006-05-01,0.009091605155996163
2006-06-01,0.011973445437924113
2006-07-01,0.00929974363582442
2006-08-01,0.006035473117141699
2006-09-01,0.006733882008539638
2006-10-01,0.00824563455670102
2006-11-01,0.008924631667852623
2006-12-01,0.0113820383868255
2007-01-01,0.009712961023662814
2007-02-01,0.010011629253132703
2007-03-01,0.014564402561993539
2007-04-01,0.012111131946535458
2007-05-01,0.013302761816508912
2007-06-01,0.01051940818981123
2007-07-01,0.011944433029249524
2007-08-01,0.014696221375094076
2007-09-01,0.016657615876970233
2007-10-01,0.014756444531829338
2007-11-01,0.018518826383021825
2007-12-01,0.021356044568665133
2008-01-01,0.022119425896417688
2008-02-01,0.02370383984947466
2008-03-01,0.02115411277135948
2008-04-01,0.022022929306864114
2008-05-01,0.019572073034760606
2008-06-01,0.023975651226707306
2008-07-01,0.02711346967987449
2008-08-01,0.02794060746060012
2008-09-01,0.030632166173155007
2008-10-01,0.030253558479519604
2008-11-01,0.023293919037264743
2008-12-01,0.02141759570764723
2009-01-01,0.02460823433579762
2009-02-01,0.02552747471533312
2009-03-01,0.024015856150579218
2009-04-01,0.02610000958848513
2009-05-01,0.02903752020301642
2009-06-01,0.030254375755950136
2009-07-01,0.025306381248162424
2009-08-01,0.021885809884192753
2009-09-01,0.02074818913410681
2009-10-01,0.018285164763073958
2009-11-01,0.01989095495600779
2009-12-01,0.020962510871269657
2010-01-01,0.02032418797234037
2010-02-01,0.018386307522641587
2010-03-01,0.01785568861527409
2010-04-01,0.017165707491469284
2010-05-01,0.01588274212127594
2010-06-01,0.015457994273867293
2010-07-01,0.015295096324100754
2010-08-01,0.016330670599979946
2010-09-01,0.01225201029077283
2010-10-01,0.01343203219066158
2010-11-01,0.01426859854392415
2010-12-01,0.012453465599826963
2011-01-01,0.010159027987910463
2011-02-01,0.008148090567440036
2011-03-01,0.011303172357662206
2011-04-01,0.017198486974042915
2011-05-01,0.014017277734144074
2011-06-01,0.009542563274829163
2011-07-01,0.010850181838002904
2011-08-01,0.008905666850236749
2011-09-01,0.013424904677743932
2011-10-01,0.012561046019154531
2011-11-01,0.010969633729031258
2011-12-01,0.012980994295555881
2012-01-01,0.013700162255788406
2012-02-01,0.01567105587633666
2012-03-01,0.014380657666051455
2012-04-01,0.009492376302130623
2012-05-01,0.013838463611728358
2012-06-01,0.011887821639423812
2012-07-01,0.015820616770059637
2012-08-01,0.013208971131861702
2012-09-01,0.013728302356798672
2012-10-01,0.01464928622194872
2012-11-01,0.01601024375003668
2012-12-01,0.013663460770136027
2013-01-01,0.013965085676129085
2013-02-01,0.014665503611412056
2013-03-01,0.014205997296399708
2013-04-01,0.014411543140025351
2013-05-01,0.015754675009926444
2013-06-01,0.015986594388716746
2013-07-01,0.017082575460088734
2013-08-01,0.022898030813525594
2013-09-01,0.01589465896898279
2013-10-01,0.01693370102341163
