Country,p,d,q,P,D,Q,m,Model,x1_lag,x2_lag,N_forecasts,RMSE_raw,MAE_raw,MAPE_raw,CI_Coverage_raw_%,RMSE_yoy,MAE_yoy,MAPE_yoy,CI_Coverage_yoy_%
Belgium,0,1,0,1,0,1,12,"(0,1,0)(1,0,1)[12]",0,0,12,13.694382354930912,11.815818932877537,0.11088880821717854,100.0,0.12852382942550414,0.11091576507733514,6.636642551208616,100.0
Germany,1,1,0,1,0,1,12,"(1,1,0)(1,0,1)[12]",0,0,12,26.317827885180144,17.543686239353917,0.16644251191206802,91.66666666666666,0.2505768392273758,0.16666429717307657,11.129496613729865,91.66666666666666
Israel,0,2,2,1,0,1,12,"(0,2,2)(1,0,1)[12]",0,0,12,24.741794042889662,20.9811209741949,0.20680284918534286,100.0,0.24343585725365174,0.20678226166408464,31.228984370613777,100.0
Korea,0,1,0,1,0,1,12,"(0,1,0)(1,0,1)[12]",2,2,12,16.440720675457687,12.540570180751113,0.11901931506273324,91.66666666666666,0.1559323041475844,0.1189531010310052,18.026838047405214,91.66666666666666
Latvia,0,2,1,1,0,1,12,"(0,2,1)(1,0,1)[12]",0,0,12,36.23263873299299,29.136818453817526,0.2692382245314968,100.0,0.33526984233873536,0.269233043577651,10.26598502358288,100.0
Lithuania,1,1,0,1,0,1,12,"(1,1,0)(1,0,1)[12]",0,0,12,35.063993102563515,25.244826074808557,0.22515707129070014,91.66666666666666,0.3118354372145129,0.22544178841497806,8.274998112281148,91.66666666666666
Norway,0,1,0,1,0,1,12,"(0,1,0)(1,0,1)[12]",0,0,12,20.60280099497059,17.332411984974648,0.15905385568631675,100.0,0.18966393404616314,0.15904717222513892,6.891698481723977,100.0
Switzerland,1,2,0,1,0,0,12,"(1,2,0)(1,0,0)[12]",0,0,12,19.901162037961075,14.45617970955008,0.1435971434858955,91.66666666666666,0.19754686708763833,0.14355637315965158,35.79363798414713,91.66666666666666
