period,actual,forecast,lower_ci,upper_ci,error,abs_error,pct_error,abs_pct_error,in_ci,actual_yoy,forecast_yoy,lower_ci_yoy,upper_ci_yoy,error_yoy,abs_error_yoy,in_ci_yoy,n_train
2019-01-01,104.970391352529,105.09810402942323,104.79371678394152,105.40249127490493,-0.1277126768942196,0.1277126768942196,0.12166542893539731,0.12166542893539731,True,0.010445096608613369,0.011661011373907293,0.008760589073609992,0.014553045547929244,-0.001215914765293924,0.001215914765293924,True,233
2019-02-01,105.469731472445,105.2226987193065,104.91844106255625,105.52695637605676,0.24703275313849815,0.24703275313849815,-0.2342214677990698,0.2342214677990698,True,0.010963131038974616,0.008618169085540472,0.005722421306927572,0.011505555714910187,0.0023449619534341437,0.0023449619534341437,True,234
2019-03-01,105.309984951031,105.54094494843258,105.23554371152557,105.8463461853396,-0.2309599974015839,0.2309599974015839,0.2193144339627244,0.2193144339627244,True,0.007431305026827317,0.009622047935889277,0.006724177755303984,0.01251154472405247,-0.00219074290906196,0.00219074290906196,True,235
2019-04-01,105.469731472445,105.513154632073,105.20698239205383,105.81932687209216,-0.04342315962799148,0.04342315962799148,0.04117120525649219,0.04117120525649219,True,0.007036079980944798,0.0074477073033580865,0.004541744353617538,0.010345250095191716,-0.00041162732241328825,0.00041162732241328825,True,236
2019-05-01,105.480310712274,105.64826652084048,105.34276508934134,105.95376795233962,-0.16795580856647518,0.16795580856647518,0.15922953528703565,0.15922953528703565,True,0.005713094265130003,0.0073041232598543004,0.004408249983494095,0.010191634663279103,-0.0015910289947242973,0.0015910289947242973,True,237
2019-06-01,105.409429805421,105.3897681207364,105.08409649019858,105.69543975127424,0.01966168468459273,0.01966168468459273,-0.018652680999116426,0.018652680999116426,True,0.0068481002383222744,0.006661556030041815,0.0037569498357408193,0.00955774991574554,0.00018654420828045915,0.00018654420828045915,True,238
2019-07-01,105.619956678013,105.55545293350465,105.25046976844037,105.86043609856894,0.06450374450834317,0.06450374450834317,-0.06107154986342744,0.06107154986342744,True,0.008752394859390833,0.008141492798085181,0.005247993659726724,0.011026643748845544,0.0006109020613056515,0.0006109020613056515,True,239
2019-08-01,105.759602643752,105.72405157481555,105.41967203550152,106.02843111412957,0.03555106893645643,0.03555106893645643,-0.03361497967821336,0.03361497967821336,True,0.008357406031631598,0.008021199723841299,0.005138047480834906,0.010896063291778724,0.0003362063077902988,0.0003362063077902988,True,240
2019-09-01,105.299405711203,105.68149622623054,105.37775722032343,105.98523523213764,-0.3820905150275422,0.3820905150275422,0.36286103653374263,0.36286103653374263,False,0.004753377597945807,0.008375420439221237,0.0054971840138149375,0.01124539638962041,-0.00362204284127543,0.00362204284127543,False,241
2019-10-01,105.539554455315,105.4712284934331,105.16404456765635,105.77841241920986,0.06832596188189655,0.06832596188189655,-0.06473967247116386,0.06473967247116386,True,0.006274593482755719,0.005626987106293946,0.002710247292588619,0.00853524428450303,0.0006476063764617734,0.0006476063764617734,True,242
2019-11-01,105.299405711203,105.36798123059081,105.06133825547325,105.67462420570838,-0.0685755193878208,0.0685755193878208,0.06512431758247324,0.06512431758247324,True,0.005227940529351827,0.005878971738362715,0.0029645186296463066,0.008784955487729285,-0.0006510312090108883,0.0006510312090108883,True,243
2019-12-01,105.39038717373,105.34131164209529,105.03516842908543,105.64745485510515,0.04907553163471334,0.04907553163471334,-0.04656547238394251,0.04656547238394251,True,0.006283502367223193,0.005817739192554683,0.002907305202896282,0.008719727131931698,0.0004657631746685098,0.0004657631746685098,True,244
