period,actual,forecast,lower_ci,upper_ci,error,abs_error,pct_error,abs_pct_error,in_ci,actual_yoy,forecast_yoy,lower_ci_yoy,upper_ci_yoy,error_yoy,abs_error_yoy,in_ci_yoy,n_train
2019-01-01,105.688109035579,105.7893975606596,105.49196215765484,106.08683296366435,-0.10128852508059083,0.10128852508059083,0.09583720061307266,0.09583720061307266,True,0.014439347502998245,0.015397260563880799,0.012581720187874623,0.01820489592396246,-0.0009579130608825537,0.0009579130608825537,True,276
2019-02-01,106.057172456214,105.8845193014074,105.58742564211582,106.18161296069897,0.1726531548066106,0.1726531548066106,-0.16279253048905382,0.16279253048905382,True,0.01606237801013055,0.014433126195005919,0.011623355330798724,0.017235024362213025,0.0016292518151246327,0.0016292518151246327,True,277
2019-03-01,106.251416361812,106.1388539696328,105.84182836239013,106.43587957687548,0.11256239217919983,0.11256239217919983,-0.10593966276731541,0.10593966276731541,True,0.0173340132130404,0.016274055028116408,0.01347166946767242,0.019068609165287853,0.0010599581849239925,0.0010599581849239925,True,278
2019-04-01,106.533070024928,106.38985847331904,106.09308378741038,106.6866331592277,0.1432115516089567,0.1432115516089567,-0.13442919797152772,0.13442919797152772,True,0.018772981612869444,0.01742778526210742,0.01463438570042186,0.02021340347405509,0.0013451963507620235,0.0013451963507620235,True,279
2019-05-01,106.494221243808,106.6527529959083,106.35599436554395,106.94951162627265,-0.15853175210030201,0.15853175210030201,0.14886418272157625,0.14886418272157625,True,0.01645938495481314,0.017946919853194743,0.015160566465953096,0.020725531042741885,-0.001487534898381604,0.001487534898381604,True,280
2019-06-01,106.659328563566,106.48792408807302,106.19112660111796,106.78472157502807,0.17140447549299154,0.17140447549299154,-0.16070275127490533,0.16070275127490533,True,0.019214564944620705,0.01760624477808559,0.014815206557239335,0.020389514780946527,0.0016083201665351154,0.0016083201665351154,True,281
2019-07-01,106.931270031403,106.95347916008161,106.65668767412204,107.25027064604119,-0.022209128678611023,0.022209128678611023,0.020769536050669522,0.020769536050669522,True,0.017592537285357146,0.017800211080167827,0.015021395059012121,0.02057132667596928,-0.00020767379481068104,0.00020767379481068104,True,282
2019-08-01,106.960406617242,106.98919877650084,106.6929573046352,107.28544024836648,-0.02879215925884182,0.02879215925884182,0.026918520758690282,0.026918520758690282,True,0.016202468959953364,0.016471617943702554,0.013698886077910366,0.01923668302054704,-0.00026914898374919005,0.00026914898374919005,True,283
2019-09-01,106.659328563566,106.85689394255243,106.56119148488273,107.15259640022214,-0.19756537898642534,0.19756537898642534,0.185230285664776,0.185230285664776,True,0.015231049556073017,0.017081639015279038,0.014310527595140066,0.019845092592762903,-0.0018505894592060201,0.0018505894592060201,True,284
2019-10-01,107.018679788922,106.7958233369159,106.49964835895184,107.09199831487996,0.2228564520060985,0.2228564520060985,-0.2082407038151179,0.2082407038151179,True,0.017208662652048012,0.0151240843895879,0.01234694931060254,0.017893528343689624,0.002084578262460113,0.002084578262460113,True,285
2019-11-01,107.057528570041,107.05913862188832,106.76238315231434,107.3558940914623,-0.0016100518473223246,0.0016100518473223246,0.0015039127736532504,0.0015039127736532504,True,0.01618765056230398,0.016202689576954477,0.013426957203097167,0.01897073858265408,-1.5039014650497506e-05,1.5039014650497506e-05,True,286
2019-12-01,107.271196866198,107.18598361629864,106.88977540565517,107.48219182694211,0.08521324989935408,0.08521324989935408,-0.0794372137057841,0.0794372137057841,True,0.0159711357389547,0.015176447921160907,0.01240912479192069,0.017936134102143342,0.0007946878177937933,0.0007946878177937933,True,287
