period,actual,forecast,lower_ci,upper_ci,error,abs_error,pct_error,abs_pct_error,in_ci,actual_yoy,forecast_yoy,lower_ci_yoy,upper_ci_yoy,error_yoy,abs_error_yoy,in_ci_yoy,n_train
2019-01-01,109.2375,109.10872252202637,108.47158736117,109.74585768288274,0.12877747797362815,0.12877747797362815,-0.11788760999988845,0.11788760999988845,True,0.021525827596896363,0.020346256075870706,0.014489687691445319,0.026168724677864574,0.0011795715210256574,0.0011795715210256574,True,156
2019-02-01,109.306,109.12623270543925,108.49050553540877,109.76195987546973,0.17976729456074736,0.17976729456074736,-0.16446242160608507,0.16446242160608507,True,0.02253814592401948,0.020892167828933772,0.015049520028689756,0.026700877289641767,0.0016459780950857095,0.0016459780950857095,True,157
2019-03-01,110.3935,110.67556877859411,110.04113405219582,111.31000350499241,-0.28206877859410895,0.28206877859410895,0.255512125799172,0.255512125799172,True,0.024211540572982138,0.026763403058510882,0.021014527096004265,0.03247941826858991,-0.002551862485528744,0.002551862485528744,True,158
2019-04-01,111.1963,111.08787921385948,110.4525084804913,111.72324994722766,0.10842078614051331,0.10842078614051331,-0.09750395124704088,0.09750395124704088,True,0.02482070509163492,0.02384518991892204,0.01810923827583899,0.02954842797512569,0.0009755151727128819,0.0009755151727128819,True,159
2019-05-01,111.3583,111.48570268701837,110.85220071651898,112.11920465751777,-0.12740268701837465,0.12740268701837465,0.11440789507236968,0.11440789507236968,True,0.02336476559288414,0.02450819058402587,0.018809623896610894,0.03017446752752395,-0.0011434249911417282,0.0011434249911417282,True,160
2019-06-01,111.7566,111.7330984361146,111.10138049750692,112.36481637472228,0.023501563885403698,0.023501563885403698,-0.02102924022867884,0.02102924022867884,True,0.023309825302646026,0.023099510785811184,0.01742965543880004,0.02873740003118641,0.00021031451683484192,0.00021031451683484192,True,161
2019-07-01,111.3235,111.17039071101665,110.54087060265299,111.79991081938032,0.15310928898334453,0.15310928898334453,-0.1375354610512107,0.1375354610512107,True,0.02647668838697559,0.02510038710820872,0.019421633612551226,0.030747074373135064,0.0013763012787668671,0.0013763012787668671,True,162
2019-08-01,111.3054,111.29387561743299,110.66588991392598,111.92186132094,0.01152438256701771,0.01152438256701771,-0.010353839586415134,0.010353839586415134,True,0.02718427270544499,0.02708072894911151,0.02142215945434689,0.032707459115720816,0.00010354375633347956,0.00010354375633347956,True,163
2019-09-01,112.6506,112.19366574298786,111.5678216058319,112.81950988014383,0.4569342570121364,0.4569342570121364,-0.4056207929759242,0.4056207929759242,True,0.02963665661068049,0.02557219995628568,0.019978335019758653,0.031134947553387526,0.00406445665439481,0.00406445665439481,True,164
2019-10-01,113.0779,113.30175187114934,112.67468507652349,113.92881866577518,-0.22385187114933558,0.22385187114933558,0.19796252950340923,0.19796252950340923,True,0.028256813833171357,0.03023448225221248,0.024684625704212593,0.03575370781191278,-0.001977668419041123,0.001977668419041123,True,165
2019-11-01,112.7937,113.19043340631106,112.56446451462061,113.8164022980015,-0.396733406311057,0.396733406311057,0.35173365738605705,0.35173365738605705,True,0.024897410067850956,0.028408575280360893,0.022862999067593037,0.033923567604932536,-0.003511165212509937,0.003511165212509937,True,166
2019-12-01,113.216,112.27871266521863,111.65088418735402,112.90654114308325,0.9372873347813595,0.9372873347813595,-0.8278753310321506,0.8278753310321506,False,0.03215177740652564,0.023838564900104053,0.018231176401704907,0.029414685840604804,0.008313212506421586,0.008313212506421586,False,167
