period,actual,forecast,lower_ci,upper_ci,error,abs_error,pct_error,abs_pct_error,in_ci,actual_yoy,forecast_yoy,lower_ci_yoy,upper_ci_yoy,error_yoy,abs_error_yoy,in_ci_yoy,n_train
2019-01-01,107.3203,107.64518257822438,107.230747409861,108.05961774658776,-0.3248825782243756,0.3248825782243756,0.30272239103354687,0.30272239103354687,True,0.02262452679132476,0.02564717788565929,0.021789736223571943,0.029489796850949546,-0.0030226510943345275,0.0030226510943345275,True,276
2019-02-01,108.20824,107.80942952037496,107.39380064404534,108.22505839670458,0.3988104796250411,0.3988104796250411,-0.36855832755901136,0.36855832755901136,True,0.02500510758045582,0.021312715808823768,0.01745004708601261,0.02516052171370564,0.003692391771632053,0.003692391771632053,True,277
2019-03-01,108.75593,108.72041494929496,108.30298002217755,109.13784987641237,0.035515050705043905,0.035515050705043905,-0.03265573721363415,0.03265573721363415,True,0.025430244366514643,0.025103633662908464,0.021256717140699877,0.028935808111802963,0.0003266107036061783,0.0003266107036061783,True,278
2019-04-01,109.42432,109.2445363115564,108.82788507724209,109.66118754587072,0.17978368844359238,0.17978368844359238,-0.16429957110411322,0.16429957110411322,True,0.02599591649733668,0.024351569588631605,0.02053034599101089,0.028158247003055692,0.0016443469087050744,0.0016443469087050744,True,279
2019-05-01,109.23134,109.5284378424609,109.11203014670744,109.94484553821437,-0.2970978424609001,0.2970978424609001,0.27198956129339813,0.27198956129339813,True,0.022585001118798687,0.02530120450911788,0.02149213656250648,0.029095818495814108,-0.002716203390319194,0.002716203390319194,True,280
2019-06-01,109.57731,109.48334470649547,109.06618978840794,109.900499624583,0.09396529350452454,0.09396529350452454,-0.08575250980748163,0.08575250980748163,True,0.0223474105754482,0.021489517592398144,0.01767202673697632,0.025292490615517416,0.000857892983050057,0.000857892983050057,True,281
2019-07-01,109.69912,109.59860132535358,109.18196377546202,110.01523887524515,0.10051867464640907,0.10051867464640907,-0.0916312497733884,0.0916312497733884,True,0.023523662721433247,0.022606930152772264,0.01879820012815081,0.026401208777071083,0.0009167325686609828,0.0009167325686609828,True,282
2019-08-01,109.15978,109.38349297829231,108.9673916900559,109.79959426652871,-0.22371297829231196,0.22371297829231196,0.20494084752856037,0.20494084752856037,True,0.02148628248985318,0.02353359379241038,0.019722280707394013,0.027330435905946082,-0.0020473113025571976,0.0020473113025571976,True,283
2019-09-01,110.00297,109.8596756504343,109.44345121333369,110.27590008753491,0.14329434956570708,0.14329434956570708,-0.13026407338429777,0.13026407338429777,True,0.021792337242596105,0.02048884733478662,0.016692960401244683,0.024270379980799284,0.0013034899078094853,0.0013034899078094853,True,284
2019-10-01,110.23195,110.20288603267792,109.7872109779626,110.61856108739325,0.029063967322073836,0.029063967322073836,-0.02636619176388863,0.02636619176388863,True,0.023033040508927627,0.022769343826374744,0.018990305087301707,0.026534155180626406,0.00026369668255288303,0.00026369668255288303,True,285
2019-11-01,110.28309,110.17221609250464,109.75731955420765,110.58711263080163,0.11087390749536041,0.11087390749536041,-0.10053572809336445,0.10053572809336445,True,0.023083106286376776,0.022077243294837068,0.01830424364505312,0.025836060910313208,0.0010058629915397077,0.0010058629915397077,True,286
2019-12-01,110.42468,110.56705062791161,110.15273647391635,110.98136478190688,-0.14237062791161748,0.14237062791161748,0.1289300796811161,0.1289300796811161,True,0.020818113293961993,0.02210658365621132,0.01835236980840449,0.025846756080479594,-0.0012884703622493276,0.0012884703622493276,True,287
