Country,RMSE,MAE,CI_Coverage_%,N_forecasts
Belgium,0.10700076199706268,0.0994236779617629,100.0,12
Switzerland,0.13190972418716287,0.10538054360089373,100.0,12
Norway,0.15690089998407863,0.13229085558205175,100.0,12
Israel,0.18819475556532886,0.14346050866117352,100.0,12
Germany,0.21150121391133234,0.17731365568704063,91.66666666666666,12
Lithuania,0.26630243566495254,0.2007523554712238,100.0,12
Korea,0.6035630882059625,0.5893083032338533,0.0,12
Latvia,1.122589380385496,1.0887247146048598,100.0,12
