Country,p,d,q,Order,AIC,BIC,LB_pvalue,LB_Pass,x1_lag,x2_lag,N_obs
Belgium,1,0,0,"(1,0,0)",-2610.8253194450017,-2592.723315116416,0.38803570977976876,True,0,0,276
Germany,2,0,0,"(2,0,0)",-2528.547193334055,-2506.824788139752,0.5069253062106791,True,0,0,276
Israel,2,0,0,"(2,0,0)",-2084.2846159012647,-2062.5622107069617,0.3836891622260984,True,0,0,276
Korea,1,0,0,"(1,0,0)",-2311.3377719399004,-2293.831480887177,0.442075064642411,True,2,2,245
Latvia,2,0,2,"(2,0,2)",-1717.613044342917,-1690.6108170814437,0.0014983847786889071,False,0,0,216
Lithuania,2,0,0,"(2,0,0)",-1288.3592410192705,-1270.0601049757734,0.3783318055762565,True,0,0,156
Norway,1,0,0,"(1,0,0)",-2454.0231907067846,-2435.921186378199,0.010752520108744846,False,0,0,276
Switzerland,2,0,2,"(2,0,2)",-2686.7995928961636,-2657.8363859704264,6.825641136815957e-05,False,0,0,276
