period,actual,forecast,lower_ci,upper_ci,in_ci,error,n_train
2019-01-01,0.0131070208280297,0.012553965476187789,0.009925396741421384,0.017403548771125505,True,0.0005530553518419117,234
2019-02-01,0.0127383343314253,0.012362519149546756,0.010284505013235162,0.0162987960381778,True,0.00037581518187854504,235
2019-03-01,0.0094969244177267,0.011866703384098561,0.009463956096991431,0.014274786994203953,True,-0.0023697789663718605,236
2019-04-01,0.0186686198114269,0.012926723565042932,0.009387135636731709,0.016828327779357766,False,0.005741896246383967,237
2019-05-01,0.0116392488778815,0.013540528606785323,0.009417816044574414,0.01872679219316318,True,-0.0019012797289038232,238
2019-06-01,0.0158212915701954,0.014439035962502704,0.011179002794739703,0.01805776272632951,True,0.0013822556076926954,239
2019-07-01,0.0161032128674358,0.013484948318180716,0.010163724034619967,0.018078211457052223,True,0.0026182645492550827,240
2019-08-01,0.0141545141234882,0.01536772911790093,0.011731839899740972,0.018701681628798313,True,-0.00121321499441273,241
2019-09-01,0.0154115843440107,0.013698242535898597,0.0104410520361816,0.018182036122257012,True,0.0017133418081121017,242
2019-10-01,0.0157519751244388,0.014074205908833055,0.010777962655965754,0.018316923334548586,True,0.001677769215605746,243
2019-11-01,0.0162619121692308,0.014992512462084093,0.01167201508570609,0.018541483335394418,True,0.0012693997071467067,244
2019-12-01,0.0167368848906361,0.015566965286716694,0.011747167772676256,0.018654675927044936,True,0.001169919603919406,245
