period,y_t,x1_t,x2_t
2007-01-01,0.0206784578512593,3.9,0.2525253867193378
2007-02-01,0.0223542898136273,3.9,2.394569359635401
2007-03-01,0.0241941872394875,3.7,2.509541985254593
2007-04-01,0.0246556395434156,3.4,-0.2447981638640683
2007-05-01,0.0251711974369976,3.0,2.0770447357206123
2007-06-01,0.0257197113779668,2.7,5.248306252313917
2007-07-01,0.0282036531545006,2.8,3.706341737688668
2007-08-01,0.033058607546156,2.8,2.776279697735617
2007-09-01,0.0400502012703283,2.8,7.926145763379999
2007-10-01,0.0377822969262418,4.2,5.270680904996894
2007-11-01,0.0403100882388374,4.3,12.99904264266898
2007-12-01,0.0421275279818162,4.3,11.721886074720178
2008-01-01,0.0516539253985843,4.6,11.53982410913379
2008-02-01,0.0617636017497487,4.7,11.070114811203435
2008-03-01,0.06781741000413,4.7,11.129085179267497
2008-04-01,0.0757763721489093,4.6,10.683002363718686
2008-05-01,0.0763012374292753,4.5,11.630404379014792
2008-06-01,0.0771826497413332,4.7,12.081713863697985
2008-07-01,0.0740428125853229,4.8,10.88754577652713
2008-08-01,0.0728282028028752,4.7,12.200690677256889
2008-09-01,0.0692631430769328,4.5,9.49904015145453
2008-10-01,0.0730366158950808,4.6,5.670453151735622
2008-11-01,0.0683862002727275,5.0,0.2254792387089033
2008-12-01,0.0660445647587062,5.7,-3.795740311340179
2009-01-01,0.0791362609213486,7.0,-10.911286527637644
2009-02-01,0.0722187443497892,8.2,-12.57578942911417
2009-03-01,0.0644111682356864,8.2,-13.258157460155662
2009-04-01,0.053584822685754,8.7,-14.683535825088612
2009-05-01,0.046081778536732,9.0,-15.4509552969456
2009-06-01,0.0407055123537638,9.3,-14.976970374992504
2009-07-01,0.0377433375877531,9.7,-16.43782420879587
2009-08-01,0.0330201627556467,10.1,-14.123826870045608
2009-09-01,0.036823896007311,10.3,-14.301883945841354
2009-10-01,0.0327067342220521,10.9,-9.597192020566414
2009-11-01,0.0314107114715866,11.7,-6.875158785687496
2009-12-01,0.0286904968713912,12.5,-2.7333846701035114
2010-01-01,0.0085669540897699,13.3,5.485836055204629
2010-02-01,0.0004454107545797,13.9,8.247095421660156
2010-03-01,-5.6503830815124445e-05,14.3,10.902468047511247
2010-04-01,-0.0016224805546301,15.1,13.241469792444782
2010-05-01,-0.0006858044102591,15.1,10.598845916354628
2010-06-01,0.0022955791346834,15.0,10.560528374129063
2010-07-01,0.0004597447479595,15.3,11.363881091035744
2010-08-01,-0.0011012188577641,14.8,8.488533214932392
2010-09-01,-0.0065054487448659,14.3,11.051326905348269
2010-10-01,-0.0096049121477816,14.2,9.265883048270496
2010-11-01,-0.0116830760456219,13.9,9.979620953883472
2010-12-01,-0.0087864885132677,14.4,14.028563969008625
2011-01-01,-0.0101862937982453,14.4,13.72315374514388
2011-02-01,-0.0115905500167698,14.2,14.496174206091704
2011-03-01,-0.0054082009364986,13.6,14.943714001544617
2011-04-01,6.187735909435332e-05,12.5,15.015227386056296
2011-05-01,0.0061840480828436,11.2,14.686024656457963
2011-06-01,0.0072697347988048,11.0,11.631352767702284
2011-07-01,0.0045634625477193,11.1,14.1253438718433
2011-08-01,0.0043024553892978,10.7,12.358802941709168
2011-09-01,0.0067760349157435,10.3,14.243983226924328
2011-10-01,0.0060205005895195,10.2,13.242458564933113
2011-11-01,0.0082393219807634,10.3,12.117369039424464
2011-12-01,0.0070461894430389,11.0,8.910342796185322
2012-01-01,0.0083933538815212,11.6,9.088185014811234
2012-02-01,0.0151903392174483,11.8,8.305930121296168
2012-03-01,0.0166922910493294,11.8,6.435521988144455
2012-04-01,0.0171819990106545,11.1,3.216928293339194
2012-05-01,0.0163647465517646,10.5,3.5461310229375265
2012-06-01,0.0179282147240131,10.4,1.652930195121094
2012-07-01,0.0206688692713967,10.3,2.0933209666465835
2012-08-01,0.0258968765382086,10.2,7.495209150603888
2012-09-01,0.0251881479829769,10.0,2.8250466285851594
2012-10-01,0.0279774942948423,10.6,3.8959796589190354
2012-11-01,0.0265868362928438,11.0,3.422387238757718
2012-12-01,0.0267714313971634,11.4,1.6152370171399255
2013-01-01,0.0236635657413497,12.3,0.5649732542119423
2013-02-01,0.0213276542380143,12.4,-0.9311054233089422
2013-03-01,0.0191811517068387,12.4,-2.694078403118638
2013-04-01,0.0174813616424556,11.5,-2.546106419827332
2013-05-01,0.0170086344517512,10.4,-1.2316593405587106
2013-06-01,0.0147169591961588,10.2,0.7684956169383916
2013-07-01,0.0116433041282348,10.1,-0.7561472700576388
2013-08-01,0.0112356308714449,10.4,-3.629993707175938
2013-09-01,0.0103551929148464,9.9,-2.4437306279437188
2013-10-01,0.0087651546588691,9.9,-3.605703693122919
2013-11-01,0.0097460120134194,10.5,-3.712944343899149
2013-12-01,0.0095418175298904,11.1,-2.481043291451357
2014-01-01,0.008722672856563,11.5,-3.147613210201783
2014-02-01,0.0060997327223448,11.4,-3.328885595667064
2014-03-01,0.0049012145833984,10.8,-3.741443585025817
2014-04-01,0.0066982554868522,9.8,-2.612630459222043
2014-05-01,0.00678285171813,9.2,-2.6075837632647314
2014-06-01,0.0087895484107898,8.6,-1.6401718383800556
2014-07-01,0.0108925349636512,8.8,-3.5735333052747897
2014-08-01,0.0117015986620732,8.9,-4.2600826889695576
2014-09-01,0.0118501055884143,8.4,-3.979176104164584
2014-10-01,0.0122124341677203,8.3,-3.840944811487113
2014-11-01,0.0135706994279836,8.8,-5.277481398214245
2014-12-01,0.0141179006898237,9.3,-9.2030539553968
2015-01-01,0.0141122828918094,9.6,-12.25180654465392
2015-02-01,0.0140028924043624,9.6,-9.531017980432477
2015-03-01,0.0170297379140453,9.1,-7.719567276554784
2015-04-01,0.018819675913126,8.5,-6.375451482536221
2015-05-01,0.0182202131288242,8.5,-6.050232009794332
2015-06-01,0.0176993452125735,8.5,-7.470677456682395
2015-07-01,0.0182440730774642,8.6,-7.660712147219684
2015-08-01,0.014726067806146,8.5,-9.649782839998087
2015-09-01,0.019103578902154,8.1,-10.536051565782678
2015-10-01,0.0230562107284244,8.3,-9.030265807370252
2015-11-01,0.0293353335422432,8.4,-8.756925705988738
2015-12-01,0.0278362246602466,9.0,-7.134126846032451
2016-01-01,0.027949284449912,9.4,-7.267669428362122
2016-02-01,0.0282788000800611,9.2,-10.654324790687577
2016-03-01,0.0338825649455332,8.9,-9.40438225223854
2016-04-01,0.0286159429225563,8.3,-9.64602661875622
2016-05-01,0.0268810780599784,7.6,-9.02295529805297
2016-06-01,0.0278144291172308,7.4,-7.394672084320586
2016-07-01,0.0268236964087522,7.8,-6.4680073972403385
2016-08-01,0.0243928071679144,7.5,-3.7740327982847433
2016-09-01,0.0192032722459361,7.2,-2.9019893573519084
2016-10-01,0.0188925641251804,7.3,-1.9978466930886007
2016-11-01,0.0137852455993234,7.6,-0.7843177461025697
2016-12-01,0.0148199097419849,8.5,3.9045673768972833
2017-01-01,0.0175772253685497,8.7,7.922693604433917
2017-02-01,0.0214824716057089,8.8,8.612340889813286
2017-03-01,0.0274291334893614,8.3,6.403085169199407
2017-04-01,0.0383066363930222,7.9,5.267323940873769
2017-05-01,0.03954372061997,7.3,3.7950982909792152
2017-06-01,0.0406306303003187,7.3,1.789756945754295
2017-07-01,0.0418596754018807,7.6,1.9069562720351207
2017-08-01,0.0436654884396068,7.5,2.1265490779342144
2017-09-01,0.0456493338293464,7.4,2.791917799733401
2017-10-01,0.0427057432536122,7.4,2.326974801495929
2017-11-01,0.0405413221173027,7.7,3.8614836127779375
2017-12-01,0.0378584493571398,8.7,1.842870582291756
2018-01-01,0.037791090305407,9.0,2.5780160277770747
2018-02-01,0.0373395978116439,9.1,0.9724549891995338
2018-03-01,0.0250064123679214,8.6,1.18984637916153
2018-04-01,0.0188827433014875,8.6,3.749769787126045
2018-05-01,0.0195797754149094,8.1,5.019740386691307
2018-06-01,0.0182948304039261,8.3,6.647677454792156
2018-07-01,0.0150825441153674,8.2,6.973333801467518
2018-08-01,0.0153029231452457,8.2,6.950953385959213
2018-09-01,0.0173262928668807,8.3,8.443831914657451
2018-10-01,0.0197781387060871,7.9,8.096906253366676
2018-11-01,0.0203269780468522,8.2,3.509131981127034
2018-12-01,0.0212608135574789,8.9,1.0683862308312977
2019-01-01,0.0215258275968963,9.2,0.0
2019-02-01,0.0225381459240194,9.2,1.916991610772012
2019-03-01,0.0242115405729821,9.0,2.4430317506899613
2019-04-01,0.0248207050916349,8.3,1.5649771667127332
2019-05-01,0.0233647655928841,7.9,0.0
2019-06-01,0.023309825302646,8.0,-2.202501197708795
2019-07-01,0.0264766883869755,8.0,-2.944481910056407
2019-08-01,0.0271842727054449,8.2,-4.112334846273846
2019-09-01,0.0296366566106804,8.0,-5.406722127027663
2019-10-01,0.0282568138331713,7.9,-6.575137756278071
2019-11-01,0.0248974100678509,8.4,-1.7923516188904642
2019-12-01,0.0321517774065256,8.7,0.6355953600698072
