period,y_t,x1_t,x2_t
1997-01-01,0.0183061016936969,11.3,2.5741447050147137
1997-02-01,0.0142799502829999,11.2,3.3336420267592537
1997-03-01,0.0170799210560579,11.2,2.943270678711851
1997-04-01,0.0162911101395604,11.2,2.428234322700362
1997-05-01,0.0158375877988348,11.4,2.93201372569607
1997-06-01,0.0144838785651666,11.5,3.4596659879880143
1997-07-01,0.0243842308998658,11.5,4.73536963834702
1997-08-01,0.0236863150373558,11.6,5.861550283444927
1997-09-01,0.0216841339731956,11.7,4.462180649925873
1997-10-01,0.0208719429148462,11.8,3.4332679080504747
1997-11-01,0.0220318365145706,11.7,3.182954886238676
1997-12-01,0.0206841686002139,11.7,2.4097551579060905
1998-01-01,0.0145543981047113,11.7,1.388034903240598
1998-02-01,0.0164272746904865,11.6,0.1260239612287605
1998-03-01,0.0146622013411317,11.5,-0.5056900788973806
1998-04-01,0.0172227642896078,11.3,-0.6333143397022845
1998-05-01,0.0162737071568539,11.2,-1.6466489853580235
1998-06-01,0.0168071250345338,11.0,-2.4220431893788863
1998-07-01,0.0113146274842117,10.9,-3.6923354104597914
1998-08-01,0.0098928421242927,10.8,-5.468622469456008
1998-09-01,0.010194233147919,10.7,-5.510683047088438
1998-10-01,0.0115784554836011,10.6,-6.320607590379179
1998-11-01,0.0114370314289207,10.6,-6.3369613932589
1998-12-01,0.0111641526701067,10.8,-6.872437907024942
1999-01-01,0.0083858544523387,10.7,-7.006756261671754
1999-02-01,0.006704957746483,10.7,-6.369924286757644
1999-03-01,0.0060069775746294,10.6,-4.936066908173942
1999-04-01,0.0046378575074257,10.6,-4.018687223786976
1999-05-01,0.0049611270846599,10.5,-3.1130918595172474
1999-06-01,0.0044247443759326,10.5,-1.8229671491661212
1999-07-01,0.0042535899539055,10.5,-0.5201572196073201
1999-08-01,0.0037671603530018,10.5,0.9108716198240608
1999-09-01,0.0024598128853572,10.5,2.6009268475117864
1999-10-01,0.0020765347822955,10.5,4.172704422666751
1999-11-01,0.0048622697731852,10.4,5.708423811762842
1999-12-01,0.0049378430294613,10.3,7.993944989038937
2000-01-01,0.0074040535944366,10.2,8.745930532858637
2000-02-01,0.0053785300391853,10.1,9.835617667662078
2000-03-01,0.0046467946029364,10.1,9.881450337115982
2000-04-01,0.0069499235535293,9.6,9.097177820572622
2000-05-01,0.0029764910457759,9.5,10.377823684669618
2000-06-01,0.0035919507282304,9.5,10.114665638064048
2000-07-01,0.0037987218269348,9.5,9.803255823896697
2000-08-01,0.0033623543362306,9.5,10.09466437637938
2000-09-01,0.0040603732210282,9.4,11.04821657778814
2000-10-01,0.0048307648464716,9.4,10.994767966473251
2000-11-01,0.0019995872048035,9.3,10.068377073733448
2000-12-01,0.0106993203615575,9.3,6.477083615778234
2001-01-01,0.005569318852773,9.3,5.160112877508283
2001-02-01,0.009068169723033,9.3,4.286370443178189
2001-03-01,0.0097797877580587,9.3,3.321776346248484
2001-04-01,0.0111864233974259,9.3,3.908135004247182
2001-05-01,0.0132379870342687,9.2,3.156311102306564
2001-06-01,0.0134465283719427,9.3,3.156311102306564
2001-07-01,0.0120716163435465,9.3,1.2918558991557028
2001-08-01,0.0134887793601929,9.3,-0.5872007477222496
2001-09-01,0.0150335602783897,9.4,-2.797385204240665
2001-10-01,0.0167896442757751,9.5,-4.684697329678844
2001-11-01,0.0162620450890482,9.6,-5.267455155097434
2001-12-01,0.016788279139126,9.6,-3.666880363708725
2002-01-01,0.0174769069946192,9.6,-2.60678267699177
2002-02-01,0.0178268040602622,9.6,-2.597548640326064
2002-03-01,0.0201781499117537,9.6,-1.6470960595924566
2002-04-01,0.0141981899959358,9.5,-1.8757877070557427
2002-05-01,0.0177520573594511,9.7,-3.39412334280329
2002-06-01,0.0177124179305385,9.8,-4.471333040994363
2002-07-01,0.0154722547709473,9.8,-3.8054532263099183
2002-08-01,0.0154447512824003,9.8,-2.383903117605257
2002-09-01,0.0157329717211798,9.9,-1.5485717439379876
2002-10-01,0.0125031098065235,10.0,-0.119976019190382
2002-11-01,0.0120115033531664,10.1,-1.0876240144138904
2002-12-01,0.0106643454991441,10.2,-0.1205545655349027
2003-01-01,0.0091165824063415,10.4,-0.1201201345634395
2003-02-01,0.009080860055727,10.5,-0.2395210725954832
2003-03-01,0.0081522893444976,10.5,-1.5541257211211246
2003-04-01,0.0106302141881426,10.6,-3.369753249717089
2003-05-01,0.0067569522747934,10.6,-4.13181493307313
