period,y_t,x1_t,x2_t
1999-06-01,-0.0052292366097859,7.1,-15.463002126299852
1999-07-01,-0.0061319885077288,7.0,-10.371128130978402
1999-08-01,-0.0035130297896728,6.5,-0.1093942403637804
1999-09-01,-0.0035130297896728,5.7,-1.884344502401092
1999-10-01,-0.0017394279805404,5.5,-1.5053355982764138
1999-11-01,-0.0008700921914357,5.2,1.7778831363438383
1999-12-01,0.0008708499111893,5.2,7.215429714130472
2000-01-01,0.0065129636151972,5.0,11.300645483547545
2000-02-01,0.0076648899196714,4.8,14.13217535396658
2000-03-01,0.0129654713401867,4.6,10.93308968872062
2000-04-01,0.0148452329719299,4.5,6.26031963667133
2000-05-01,0.0127116756191574,4.3,8.373262646188184
2000-06-01,0.0145796339986388,4.2,11.36725839749193
2000-07-01,0.0194914499025546,4.1,9.32317512946339
2000-08-01,0.0214747299814561,4.2,3.9041781794030506
2000-09-01,0.0264461205765158,4.5,4.197337429480808
2000-10-01,0.0256729281091514,4.1,1.4925650216675024
2000-11-01,0.0256729281091514,4.2,3.476268712286501
2000-12-01,0.0286379550907653,4.3,5.187212324003276
2001-01-01,0.0318684803114894,4.4,8.01747818994425
2001-02-01,0.0337606561248158,4.7,6.763283442470147
2001-03-01,0.0335277416587365,4.6,7.440871838256324
2001-04-01,0.0354310664816974,4.1,12.438371968773598
2001-05-01,0.040352856313607,3.9,8.979740023195593
2001-06-01,0.0403428929400258,3.8,6.418843381570571
2001-07-01,0.0353466838393421,3.8,5.208307987022476
2001-08-01,0.0353072965749001,3.8,4.136921318985731
2001-09-01,0.0322613436562573,3.7,1.098631387435134
2001-10-01,0.0312609343144894,3.6,-2.391067062168606
2001-11-01,0.0322002598304687,3.7,-8.563699524497537
2001-12-01,0.0321210686305386,3.6,-8.874765822037212
2002-01-01,0.0270881587808231,3.6,-11.1569901288755
2002-02-01,0.0260251963457571,3.5,-9.55068801565604
2002-03-01,0.0277399965379885,3.4,-6.133492777429872
2002-04-01,0.0295405916501065,3.4,-6.789378770537269
2002-05-01,0.0294991217553937,3.3,-8.623092131781718
2002-06-01,0.0285119766606829,3.1,-11.221046379729582
2002-07-01,0.0304432873119919,3.1,-10.814215861970313
2002-08-01,0.0303565113581907,3.3,-8.576116893671504
2002-09-01,0.0312387631745298,3.0,-5.631427031531189
2002-10-01,0.0340385916132488,3.1,-0.4325889947121908
2002-11-01,0.0349425845915591,3.1,0.1235330607992857
2002-12-01,0.0348436254235107,3.1,2.832047678745564
2003-01-01,0.0346983081761838,3.3,2.410404181936165
2003-02-01,0.0346011799813048,3.3,5.063037521911529
2003-03-01,0.036134533320979,3.4,2.804819838802697
2003-04-01,0.0341538893851636,3.4,-3.5492838286513617
2003-05-01,0.0331775646471887,3.6,-2.550715837775819
2003-06-01,0.0340909331026031,3.6,1.276324182609745
2003-07-01,0.0322333990905905,3.7,3.1665999909089138
2003-08-01,0.0312896506853466,3.7,2.56650654275985
2003-09-01,0.0311894817370541,3.7,-1.5304693667173908
2003-10-01,0.0283896532983352,3.7,-0.791352059070416
