period,y_t,x1_t,x2_t
1997-01-01,0.0956193466022741,7.3,-3.402515343098411
1997-02-01,0.0946978099137867,7.3,-3.402515343098411
1997-03-01,0.097287817932715,7.3,-3.402515343098411
1997-04-01,0.0930536914455926,7.5,-4.208541856702741
1997-05-01,0.0746847732310271,7.5,-4.208541856702741
1997-06-01,0.0799196231758747,7.5,-4.208541856702741
1997-07-01,0.0900684671621272,8.1,-5.822077450504004
1997-08-01,0.0886075465224527,8.1,-5.822077450504004
1997-09-01,0.0839546931025916,8.1,-5.822077450504004
1997-10-01,0.0875370011804435,7.8,-4.848681212706385
1997-11-01,0.0782353693901347,7.8,-4.848681212706385
1997-12-01,0.0659909542178853,7.8,-4.848681212706385
1998-01-01,0.0657935292667692,8.7,-6.3797139662860936
1998-02-01,0.0565626944912374,8.7,-6.3797139662860936
1998-03-01,0.0460363396883405,8.7,-6.3797139662860936
1998-04-01,0.0513685927573766,9.3,-5.189231600351896
1998-05-01,0.0482902891277809,9.3,-5.189231600351896
1998-06-01,0.0419439645809669,9.3,-5.189231600351896
1998-07-01,0.0287789645500433,8.1,-6.862850638909634
1998-08-01,0.033072748274022,8.1,-6.862850638909634
1998-09-01,0.044388102768794,8.1,-6.862850638909634
1998-10-01,0.0630019365716672,8.1,-5.22994994028485
1998-11-01,0.077925361365148,8.1,-5.22994994028485
1998-12-01,0.0808239141191595,8.1,-5.22994994028485
1999-01-01,0.0698608015284181,8.8,-5.275056538552914
1999-02-01,0.0603692048468458,8.8,-5.275056538552914
1999-03-01,0.0632677576008573,8.8,-5.275056538552914
1999-04-01,0.0488582863807041,9.0,-5.473322196089381
1999-05-01,0.0528634895570681,9.0,-5.473322196089381
1999-06-01,0.0483853878028446,9.0,-5.473322196089381
1999-07-01,0.0538432320208226,9.0,0.1365187925340016
1999-08-01,0.0550345192362442,9.0,0.1365187925340016
1999-09-01,0.0505226894245511,9.0,0.1365187925340016
1999-10-01,0.0228044758186207,8.7,-0.1343183546468118
1999-11-01,0.0080000426670752,8.7,-0.1343183546468118
1999-12-01,0.0053404666313179,8.7,-0.1343183546468118
2000-01-01,0.0080645598367299,8.6,4.879016416943127
2000-02-01,0.0108402145528643,8.6,4.879016416943127
2000-03-01,0.0054347959859573,8.6,4.879016416943127
2000-04-01,0.0135320062185764,8.8,5.340077672711541
2000-05-01,0.0161293819298835,8.8,5.340077672711541
2000-06-01,0.0160646025038051,8.8,5.340077672711541
2000-07-01,0.012024192966801,8.8,2.2927504643704744
2000-08-01,0.0040080213975386,8.8,2.2927504643704744
2000-09-01,-0.0107096070463752,8.8,2.2927504643704744
2000-10-01,-0.0106667678041967,8.8,-0.5390848634876377
2000-11-01,-0.0093396275961321,8.8,-0.5390848634876377
2000-12-01,-0.0053404666313179,8.8,-0.5390848634876377
2001-01-01,-0.0040241502997258,8.5,-1.19761910467151
2001-02-01,0.0,8.5,-1.19761910467151
2001-03-01,0.0080972102326191,8.5,-1.19761910467151
2001-04-01,0.0093646169310437,8.8,-1.3423020332140825
2001-05-01,0.0026631174194839,8.8,-1.3423020332140825
2001-06-01,0.0026525214491313,8.8,-1.3423020332140825
2001-07-01,0.0105681300617934,9.6,-0.8032171697264445
2001-08-01,0.0171848247541017,9.6,-0.8032171697264445
2001-09-01,0.0265619865666977,9.6,-0.8032171697264445
2001-10-01,0.0225324310806973,10.3,-1.910017137341935
2001-11-01,0.0172761771918699,10.3,-1.910017137341935
2001-12-01,0.0159365922628129,10.3,-1.910017137341935
2002-01-01,0.0330499346725527,10.53,-4.238501817217166
2002-02-01,0.0448032770158404,10.53,-4.238501817217166
2002-03-01,0.0498137057122196,10.53,-4.238501817217166
2002-04-01,0.0531557400502906,10.26,-0.6779686985378675
2002-05-01,0.0643722839166747,10.26,-0.6779686985378675
2002-06-01,0.075242616753516,10.26,-0.6779686985378675
2002-07-01,0.071005736998317,10.31,0.8032171697264445
2002-08-01,0.0597762163820263,10.31,0.8032171697264445
2002-09-01,0.0597762163820263,10.31,0.8032171697264445
2002-10-01,0.065930081956405,10.18,3.3855636939338574
2002-11-01,0.0637971396628618,10.18,3.3855636939338574
2002-12-01,0.0625602811254646,10.18,3.3855636939338574
2003-01-01,0.0507079475528478,10.79,7.5304383064130676
2003-02-01,0.0428817274832642,10.79,7.5304383064130676
2003-03-01,0.0339441765131809,10.79,7.5304383064130676
2003-04-01,0.020000666706669,10.44,5.556985115481083
2003-05-01,0.0,10.44,5.556985115481083
2003-06-01,-0.0198517685527308,10.44,5.556985115481083
2003-07-01,-0.0298158732251545,10.87,4.561051125205218
2003-08-01,-0.0174350618221001,10.87,4.561051125205218
2003-09-01,-0.0250013022054167,10.87,4.561051125205218
2003-10-01,-0.0298901454732085,10.9,5.567780948300083
2003-11-01,-0.0263008272006137,10.9,5.567780948300083
2003-12-01,-0.0288783407386858,10.9,5.567780948300083
2004-01-01,-0.0339441765131809,10.92,5.542980493933047
2004-02-01,-0.0339015516756804,10.92,5.542980493933047
2004-03-01,-0.0326662210676884,10.92,5.542980493933047
2004-04-01,-0.020000666706669,10.46,6.598535042299591
2004-05-01,-0.0075094220221307,10.46,6.598535042299591
2004-06-01,-0.0012539186595947,10.46,6.598535042299591
2004-07-01,0.0037759642095354,10.11,6.890794219054008
2004-08-01,0.0012554929458303,10.11,6.890794219054008
2004-09-01,0.0037902761737811,10.11,6.890794219054008
2004-10-01,0.0012634240467717,9.86,9.140975040149437
2004-11-01,0.0012682309879954,9.86,9.140975040149437
2004-12-01,0.0012730746467966,9.86,9.140975040149437
2005-01-01,-0.0012795907056251,9.17,8.568288054979778
