period,y_t,x1_t,x2_t
1997-01-01,0.0045592162956173,5.7,-1.9173183303927035
1997-02-01,0.0044094255055968,5.7,-0.611726631482945
1997-03-01,0.0046493489942021,5.6,-0.263035237142617
1997-04-01,0.0051053278383594,5.5,0.4470506369949056
1997-05-01,0.004334873016643,5.3,2.0079979486784083
1997-06-01,0.0040361512492896,5.1,2.7124904224234747
1997-07-01,0.0038404273391545,5.0,3.078998113965969
1997-08-01,0.0010082373978113,5.0,4.634592092693168
1997-09-01,0.0008597473900335,4.9,4.024995675016463
1997-10-01,0.0010408464122937,4.8,3.364296442259196
1997-11-01,0.0010936825684542,4.9,3.4989489562207154
1997-12-01,0.0014633871188483,5.0,2.902218030572712
1998-01-01,0.0011073313141105,5.0,1.9510736049747732
1998-02-01,0.0007988033364405,4.9,0.5100317074644423
1998-03-01,0.0006024635832844,4.6,-0.2466931624111268
1998-04-01,0.0004791036012274,4.3,-0.5400857010066318
1998-05-01,0.0017250013107652,3.9,-1.404741945297605
1998-06-01,0.0018699375680348,3.6,-2.138440951583842
1998-07-01,0.0017775779015556,3.5,-1.902564469566048
1998-08-01,0.0045393780843188,3.4,-3.320262753205583
1998-09-01,0.004447172891016,3.3,-3.921072568755157
1998-10-01,0.0046865623270511,3.2,-4.709160753385078
1998-11-01,0.00425231790273,3.3,-5.366195843781085
1998-12-01,0.0039170849591601,3.4,-5.632733130717682
1999-01-01,0.0047175630407041,3.5,-5.586882067661225
1999-02-01,0.0072867661620277,3.4,-5.2749152238599
1999-03-01,0.0084264450620628,3.2,-4.62807525640061
1999-04-01,0.0076189690381074,2.9,-4.659254685356995
1999-05-01,0.0075644670484669,2.7,-4.018687223786976
1999-06-01,0.0079099486055325,2.6,-3.3003429573776444
1999-07-01,0.0070893005372791,2.5,-2.8927278969406167
1999-08-01,0.0086580327786602,2.4,-2.0130831651871794
1999-09-01,0.0092432464601523,2.4,-0.6948694683875267
1999-10-01,0.0090719130293708,2.3,0.6703546628562762
1999-11-01,0.0092049668881672,2.4,2.058136316457926
1999-12-01,0.0091022947231707,2.5,3.9870941611707353
2000-01-01,0.0080289188562217,2.3,4.637400536524439
2000-02-01,0.0064787465751141,2.2,6.337588629749025
2000-03-01,0.002647013605542,2.1,6.760028766224924
2000-04-01,0.0033575413076105,1.9,6.220868150820724
2000-05-01,0.0047016110087438,1.8,6.503442990052299
2000-06-01,0.004567321345581,1.7,6.817428782645862
2000-07-01,0.0061142182370952,1.7,6.621220761609603
2000-08-01,0.0002378331363157,1.6,6.284434425837304
2000-09-01,-0.0007298010749394,1.6,7.907005261769928
2000-10-01,-0.0002273023114716,1.6,7.059390296235435
2000-11-01,0.0048999645099305,1.7,7.311059560479105
2000-12-01,0.0053786008318192,1.8,5.386013066739714
2001-01-01,0.0085949076525135,1.8,3.111231613896237
2001-02-01,0.00443690819412,1.8,1.2671059828344156
2001-03-01,0.0080543684915292,1.7,0.4741119298937057
2001-04-01,0.0086568908272894,1.6,0.6807830361246658
2001-05-01,0.0142154905647089,1.5,-0.1405714044683037
2001-06-01,0.0138848787335899,1.5,-0.45467775597956
2001-07-01,0.0139174846225262,1.5,-0.8507174990086241
2001-08-01,0.0082831243975265,1.5,-1.6264568976761318
2001-09-01,0.009214658583212,1.6,-3.967503233481473
2001-10-01,0.008149004340666,1.7,-4.84546771138632
2001-11-01,0.0093018889304774,2.0,-6.439349902144453
2001-12-01,0.009090058790373,2.2,-6.253604300978921
2002-01-01,0.00477646442007,2.4,-4.448929489555287
2002-02-01,0.0073960595839137,2.4,-4.169560883541212
2002-03-01,0.0061582300466351,2.3,-3.6161750383683966
2002-04-01,0.0124510907474491,2.3,-3.0665653198323817
2002-05-01,0.009810948586896,2.3,-3.554357644653372
2002-06-01,0.0094519012118334,2.3,-3.972129413602144
2002-07-01,0.0021522761762078,2.4,-3.890225026478511
2002-08-01,0.0077447847655243,2.4,-3.308546874174389
2002-09-01,0.0073455721512445,2.6,-2.709410287751801
2002-10-01,0.0152632787583906,2.8,-1.1351634719493298
2002-11-01,0.0096663895477338,3.1,-0.5774135920354695
2002-12-01,0.0093300042630195,3.3,-0.0172562554353383
2003-01-01,0.0078777561732525,3.5,0.3791147053269661
2003-02-01,0.0072857568134123,3.6,0.2501402951750719
2003-03-01,0.0079011736793006,3.6,0.8310890487296163
2003-04-01,0.0067450070450911,3.6,-1.305299769429169
2003-05-01,0.0052909973356998,3.6,-1.2163186398721493
2003-06-01,0.0056085053825789,3.6,-1.9237221171283456
2003-07-01,0.0029113014418635,3.6,-1.6959140207826628
2003-08-01,0.0033378229028109,3.6,-0.9645119738520336
2003-09-01,0.0032981949497878,3.7,-1.317290908949964
2003-10-01,0.0030143122905004,3.8,-1.5745631990586872
2003-11-01,0.0031809490489287,4.0,-1.4013023591353146
2003-12-01,0.0035727923440198,4.1,-1.495289965806368
2004-01-01,0.0006893974375064,4.3,-1.761204591636112
2004-02-01,0.0014022466452461,4.2,-1.6503458039819563
2004-03-01,0.0013492598549911,4.1,-2.034202189004919
