period,inflation_yoy,month,inflation_yoy_lag1,inflation_yoy_lag2,inflation_yoy_lag3,inflation_yoy_lag4,banks_balance_sheet_yoy_lag1,banks_balance_sheet_yoy_lag2,banks_balance_sheet_yoy_lag3,banks_balance_sheet_yoy_lag4,current_account_yoy_diff_lag1,current_account_yoy_diff_lag2,current_account_yoy_diff_lag3,current_account_yoy_diff_lag4,employed_persons_yoy_lag1,employed_persons_yoy_lag2,employed_persons_yoy_lag3,employed_persons_yoy_lag4,energy_inflation_lag1,energy_inflation_lag2,energy_inflation_lag3,energy_inflation_lag4,foreign_direct_investment_yoy_diff_lag1,foreign_direct_investment_yoy_diff_lag2,foreign_direct_investment_yoy_diff_lag3,foreign_direct_investment_yoy_diff_lag4,import_prices_yoy_lag1,import_prices_yoy_lag2,import_prices_yoy_lag3,import_prices_yoy_lag4,interest_rate_lag1,interest_rate_lag2,interest_rate_lag3,interest_rate_lag4,manufacturing_production_lag1,manufacturing_production_lag2,manufacturing_production_lag3,manufacturing_production_lag4,private_sector_credit_yoy_lag1,private_sector_credit_yoy_lag2,private_sector_credit_yoy_lag3,private_sector_credit_yoy_lag4,producer_prices_yoy_lag1,producer_prices_yoy_lag2,producer_prices_yoy_lag3,producer_prices_yoy_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag3,unemployment_rate_lag4
1999-04-01,0.0046378575074257,4,0.0060069775746294,0.006704957746483,0.0083858544523387,0.0111641526701067,-55.048684631556455,-54.906844310591296,-53.35585951836119,10.195448209695002,-1494.013,-1286.136,-975.6909999999998,-5352.360999999999,1.65305908443667,1.7930348297692689,1.9016436966682093,1.922208235272116,-2.3,-4.0,-4.0,-5.5,-5576.734,-6168.739,4283.543,-5449.01,-4.936066908173942,-6.369924286757644,-7.006756261671665,-6.872437907024942,3.0,3.0,3.0,3.0,-1.8,-1.1,0.6,-0.3,7.912577225323503,7.841846556265608,7.92287068145896,7.368967602856635,-2.4982930490509148,-2.4982930490509148,-2.349594136893085,-2.049852154834131,10.6,10.7,10.7,10.8
1999-05-01,0.0049611270846599,5,0.0046378575074257,0.0060069775746294,0.006704957746483,0.0083858544523387,-54.77364364173525,-55.048684631556455,-54.906844310591296,-53.35585951836119,1349.352,-1494.013,-1286.136,-975.6909999999998,1.110819033794641,1.65305908443667,1.7930348297692689,1.9016436966682093,2.7,-2.3,-4.0,-4.0,5179.771,-5576.734,-6168.739,4283.543,-4.018687223786976,-4.936066908173942,-6.369924286757644,-7.006756261671665,2.75,3.0,3.0,3.0,-0.4,-1.8,-1.1,0.6,7.6625715935922045,7.912577225323503,7.841846556265608,7.92287068145896,-1.9048194970694432,-2.4982930490509148,-2.4982930490509148,-2.349594136893085,10.6,10.6,10.7,10.7
1999-06-01,0.0044247443759326,6,0.0049611270846599,0.0046378575074257,0.0060069775746294,0.006704957746483,-55.17328352213138,-54.77364364173525,-55.048684631556455,-54.906844310591296,-4448.122,1349.352,-1494.013,-1286.136,1.2456692966003047,1.110819033794641,1.65305908443667,1.7930348297692689,2.5,2.7,-2.3,-4.0,-1693.1419999999998,5179.771,-5576.734,-6168.739,-3.1130918595173362,-4.018687223786976,-4.936066908173942,-6.369924286757644,2.5,2.75,3.0,3.0,-0.4,-0.4,-1.8,-1.1,7.6489244923610755,7.6625715935922045,7.912577225323503,7.841846556265608,-1.9048194970694432,-1.9048194970694432,-2.4982930490509148,-2.4982930490509148,10.5,10.6,10.6,10.7
1999-07-01,0.0042535899539055,7,0.0044247443759326,0.0049611270846599,0.0046378575074257,0.0060069775746294,-56.03472343571596,-55.17328352213138,-54.77364364173525,-55.048684631556455,1356.127,-4448.122,1349.352,-1494.013,1.5954415496819863,1.2456692966003047,1.110819033794641,1.65305908443667,4.1,2.5,2.7,-2.3,6191.185,-1693.1419999999998,5179.771,-5576.734,-1.8229671491661215,-3.1130918595173362,-4.018687223786976,-4.936066908173942,2.5,2.5,2.75,3.0,0.5,-0.4,-0.4,-1.8,7.720907006167899,7.6489244923610755,7.6625715935922045,7.912577225323503,-1.6117565021068536,-1.9048194970694432,-1.9048194970694432,-2.4982930490509148,10.5,10.5,10.6,10.6
1999-08-01,0.0037671603530018,8,0.0042535899539055,0.0044247443759326,0.0049611270846599,0.0046378575074257,-55.46633039061142,-56.03472343571596,-55.17328352213138,-54.77364364173525,-650.549,1356.127,-4448.122,1349.352,1.5512190153600613,1.5954415496819863,1.2456692966003047,1.110819033794641,5.4,4.1,2.5,2.7,1147.0030000000006,6191.185,-1693.1419999999998,5179.771,-0.5201572196073201,-1.8229671491661215,-3.1130918595173362,-4.018687223786976,2.5,2.5,2.5,2.75,-0.1,0.5,-0.4,-0.4,7.6771669696315215,7.720907006167899,7.6489244923610755,7.6625715935922045,-1.0256500167189486,-1.6117565021068536,-1.9048194970694432,-1.9048194970694432,10.5,10.5,10.5,10.6
1999-09-01,0.0024598128853572,9,0.0037671603530018,0.0042535899539055,0.0044247443759326,0.0049611270846599,-56.13419274991909,-55.46633039061142,-56.03472343571596,-55.17328352213138,-2249.3449999999993,-650.549,1356.127,-4448.122,1.6111945800604488,1.5512190153600613,1.5954415496819863,1.2456692966003047,7.4,5.4,4.1,2.5,8550.326000000001,1147.0030000000006,6191.185,-1693.1419999999998,0.9108716198240607,-0.5201572196073201,-1.8229671491661215,-3.1130918595173362,2.5,2.5,2.5,2.5,2.4,-0.1,0.5,-0.4,7.649224527549414,7.6771669696315215,7.720907006167899,7.6489244923610755,-0.7326040092072716,-1.0256500167189486,-1.6117565021068536,-1.9048194970694432,10.5,10.5,10.5,10.5
1999-10-01,0.0020765347822955,10,0.0024598128853572,0.0037671603530018,0.0042535899539055,0.0044247443759326,-55.14839457590366,-56.13419274991909,-55.46633039061142,-56.03472343571596,-1535.7180000000003,-2249.3449999999993,-650.549,1356.127,1.5038263942027896,1.6111945800604488,1.5512190153600613,1.5954415496819863,8.6,7.4,5.4,4.1,-2287.446999999999,8550.326000000001,1147.0030000000006,6191.185,2.6009268475117864,0.9108716198240607,-0.5201572196073201,-1.8229671491661215,2.5,2.5,2.5,2.5,2.8,2.4,-0.1,0.5,7.555539853264648,7.649224527549414,7.6771669696315215,7.720907006167899,-0.439561147303813,-0.7326040092072716,-1.0256500167189486,-1.6117565021068536,10.5,10.5,10.5,10.5
1999-11-01,0.0048622697731852,11,0.0020765347822955,0.0024598128853572,0.0037671603530018,0.0042535899539055,-55.30113683946869,-55.14839457590366,-56.13419274991909,-55.46633039061142,-59.08100000000013,-1535.7180000000003,-2249.3449999999993,-650.549,1.4527976259250508,1.5038263942027896,1.6111945800604488,1.5512190153600613,8.6,8.6,7.4,5.4,15811.284,-2287.446999999999,8550.326000000001,1147.0030000000006,4.17270442266684,2.6009268475117864,0.9108716198240607,-0.5201572196073201,2.5,2.5,2.5,2.5,3.0,2.8,2.4,-0.1,7.481038187425781,7.555539853264648,7.649224527549414,7.6771669696315215,0.2932553421277184,-0.439561147303813,-0.7326040092072716,-1.0256500167189486,10.5,10.5,10.5,10.5
1999-12-01,0.0049378430294613,12,0.0048622697731852,0.0020765347822955,0.0024598128853572,0.0037671603530018,-55.66512398343004,-55.30113683946869,-55.14839457590366,-56.13419274991909,-1781.136,-59.08100000000013,-1535.7180000000003,-2249.3449999999993,1.6151298364999178,1.4527976259250508,1.5038263942027896,1.6111945800604488,8.9,8.6,8.6,7.4,-3473.716,15811.284,-2287.446999999999,8550.326000000001,5.708423811762842,4.17270442266684,2.6009268475117864,0.9108716198240607,2.75,2.5,2.5,2.5,4.7,3.0,2.8,2.4,7.381606245176897,7.481038187425781,7.555539853264648,7.649224527549414,0.8823586658515126,0.2932553421277184,-0.439561147303813,-0.7326040092072716,10.4,10.5,10.5,10.5
2000-01-01,0.0074040535944366,1,0.0049378430294613,0.0048622697731852,0.0020765347822955,0.0024598128853572,-56.37233099043879,-55.66512398343004,-55.30113683946869,-55.14839457590366,-2200.15,-1781.136,-59.08100000000013,-1535.7180000000003,1.9797055575599742,1.6151298364999178,1.4527976259250508,1.5038263942027896,12.2,8.9,8.6,8.6,31686.94,-3473.716,15811.284,-2287.446999999999,7.993944989038937,5.708423811762842,4.17270442266684,2.6009268475117864,3.0,2.75,2.5,2.5,4.2,4.7,3.0,2.8,7.0144199422102815,7.381606245176897,7.481038187425781,7.555539853264648,1.1764841579586793,0.8823586658515126,0.2932553421277184,-0.439561147303813,10.3,10.4,10.5,10.5
2000-02-01,0.0053785300391853,2,0.0074040535944366,0.0049378430294613,0.0048622697731852,0.0020765347822955,7.1448393425564305,-56.37233099043879,-55.66512398343004,-55.30113683946869,1141.821,-2200.15,-1781.136,-59.08100000000013,2.2856971802465154,1.9797055575599742,1.6151298364999178,1.4527976259250508,14.6,12.2,8.9,8.6,642.694,31686.94,-3473.716,15811.284,8.745930532858548,7.993944989038937,5.708423811762842,4.17270442266684,3.0,3.0,2.75,2.5,2.3,4.2,4.7,3.0,6.5822567497241025,7.0144199422102815,7.381606245176897,7.481038187425781,2.0588962577622105,1.1764841579586793,0.8823586658515126,0.2932553421277184,10.2,10.3,10.4,10.5
2000-03-01,0.0046467946029364,3,0.0053785300391853,0.0074040535944366,0.0049378430294613,0.0048622697731852,8.366707237530946,7.1448393425564305,-56.37233099043879,-55.66512398343004,2055.281,1141.821,-2200.15,-1781.136,2.398025338018961,2.2856971802465154,1.9797055575599742,1.6151298364999178,15.9,14.6,12.2,8.9,138760.56999999998,642.694,31686.94,-3473.716,9.835617667662078,8.745930532858548,7.993944989038937,5.708423811762842,3.125,3.0,3.0,2.75,6.4,2.3,4.2,4.7,6.723704890457682,6.5822567497241025,7.0144199422102815,7.381606245176897,2.2075951699200402,2.0588962577622105,1.1764841579586793,0.8823586658515126,10.1,10.2,10.3,10.4
2000-04-01,0.0069499235535293,4,0.0046467946029364,0.0053785300391853,0.0074040535944366,0.0049378430294613,8.966630703155154,8.366707237530946,7.1448393425564305,-56.37233099043879,1386.8159999999998,2055.281,1141.821,-2200.15,2.5174730701044368,2.398025338018961,2.2856971802465154,1.9797055575599742,17.7,15.9,14.6,12.2,14870.717,138760.56999999998,642.694,31686.94,9.881450337115982,9.835617667662078,8.745930532858548,7.993944989038937,3.375,3.125,3.0,3.0,5.9,6.4,2.3,4.2,7.546272292101364,6.723704890457682,6.5822567497241025,7.0144199422102815,2.3530497410193973,2.2075951699200402,2.0588962577622105,1.1764841579586793,10.1,10.1,10.2,10.3
2000-05-01,0.0029764910457759,5,0.0069499235535293,0.0046467946029364,0.0053785300391853,0.0074040535944366,8.939907667598135,8.966630703155154,8.366707237530946,7.1448393425564305,-3148.883,1386.8159999999998,2055.281,1141.821,2.9492993450219274,2.5174730701044368,2.398025338018961,2.2856971802465154,9.0,17.7,15.9,14.6,1873.04,14870.717,138760.56999999998,642.694,9.097177820572622,9.881450337115982,9.835617667662078,8.745930532858548,3.625,3.375,3.125,3.0,6.4,5.9,6.4,2.3,7.56662197238942,7.546272292101364,6.723704890457682,6.5822567497241025,2.194674772470595,2.3530497410193973,2.2075951699200402,2.0588962577622105,9.6,10.1,10.1,10.2
2000-06-01,0.0035919507282304,6,0.0029764910457759,0.0069499235535293,0.0046467946029364,0.0053785300391853,9.032104537178043,8.939907667598135,8.966630703155154,8.366707237530946,1292.284,-3148.883,1386.8159999999998,2055.281,2.747285769337715,2.9492993450219274,2.5174730701044368,2.398025338018961,11.0,9.0,17.7,15.9,4896.522000000001,1873.04,14870.717,138760.56999999998,10.377823684669707,9.097177820572622,9.881450337115982,9.835617667662078,3.75,3.625,3.375,3.125,8.0,6.4,5.9,6.4,7.706043714476074,7.56662197238942,7.546272292101364,6.723704890457682,2.483692314693897,2.194674772470595,2.3530497410193973,2.2075951699200402,9.5,9.6,10.1,10.1
